Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr20	5165	18	12	62	455	last_breed_formation_generation	False	TRUE	0.318	(0.292, 0.344)	0.608	(0.544, 0.671)	0.15847	(0.15206, 0.16488)	0.03159	0.35873	(0.35403, 0.36344)	0.20187	3.72924
chr21	6195	46	14	76	275	last_breed_formation_generation	False	TRUE	0.231	(0.219, 0.243)	0.458	(0.413, 0.503)	0.14525	(0.14261, 0.1479)	0.02858	0.34926	(0.34663, 0.35188)	0.19735	2.87079
chr21	6415	49	14	82	395	last_breed_formation_generation	False	TRUE	0.198	(0.19, 0.207)	0.397	(0.355, 0.439)	0.14886	(0.14687, 0.15085)	0.03648	0.34536	(0.34282, 0.34789)	0.19948	3.41672
chr9	7000	37	15	70	300	last_breed_formation_generation	False	TRUE	0.257	(0.243, 0.271)	0.51	(0.461, 0.559)	0.14611	(0.14323, 0.14899)	0.03464	0.35303	(0.34923, 0.35683)	0.20857	2.95212
chr21	5755	65	12	90	155	last_breed_formation_generation	True	TRUE	0.295	(0.28, 0.309)	0.617	(0.56, 0.674)	0.12462	(0.12216, 0.12707)	0.00819	0.35503	(0.35069, 0.35937)	0.18939	3.9217
chr28	6305	26	14	74	235	last_breed_formation_generation	False	TRUE	0.324	(0.306, 0.341)	0.628	(0.57, 0.687)	0.14264	(0.13877, 0.14651)	0.02024	0.36279	(0.35559, 0.37)	0.2029	4.04806
chr21	3850	100	8	40	435	last_breed_formation_generation	True	TRUE	0.092	(0.088, 0.096)	0.153	(0.144, 0.163)	0.15483	(0.15339, 0.15626)	0.04699	0.31548	(0.31354, 0.31743)	0.18033	5.51703
chr2	6655	23	10	58	320	last_breed_formation_generation	False	TRUE	0.267	(0.253, 0.282)	0.537	(0.481, 0.592)	0.16079	(0.1563, 0.16529)	0.03563	0.35181	(0.34829, 0.35532)	0.19996	2.74123
chr2	1940	13	10	76	380	last_breed_formation_generation	True	TRUE	0.396	(0.37, 0.422)	0.821	(0.759, 0.882)	0.15278	(0.14611, 0.15945)	0.0039	0.36215	(0.35565, 0.36864)	0.17686	5.54192
chr2	5385	5	9	95	325	last_breed_formation_generation	False	TRUE	0.61	(0.56, 0.659)	0.986	(0.967, 1.006)	0.12078	(0.10556, 0.13601)	0	0.37244	(0.36338, 0.3815)	0.17011	9.93066
chr2	4845	21	6	57	505	last_breed_formation_generation	False	TRUE	0.184	(0.175, 0.192)	0.377	(0.326, 0.428)	0.18385	(0.18157, 0.18613)	0.05536	0.33898	(0.33645, 0.34152)	0.2023	3.03593
chr28	6775	32	12	47	275	last_breed_formation_generation	False	TRUE	0.245	(0.225, 0.265)	0.436	(0.377, 0.495)	0.1571	(0.15225, 0.16196)	0.04478	0.34457	(0.34091, 0.34824)	0.19955	3.07971
chr1	5905	39	8	55	310	last_breed_formation_generation	False	TRUE	0.176	(0.171, 0.181)	0.35	(0.33, 0.37)	0.16472	(0.16334, 0.16611)	0.04951	0.33689	(0.33559, 0.33819)	0.20082	3.40014
chr3	6565	26	10	61	245	last_breed_formation_generation	False	TRUE	0.247	(0.233, 0.261)	0.491	(0.435, 0.548)	0.16009	(0.15704, 0.16314)	0.0341	0.35277	(0.35006, 0.35548)	0.20372	2.64512
chr3	6240	23	11	67	215	last_breed_formation_generation	False	TRUE	0.301	(0.285, 0.316)	0.68	(0.622, 0.739)	0.15143	(0.14778, 0.15509)	0.01854	0.35735	(0.35387, 0.36083)	0.19268	3.69775
chr3	6600	28	10	63	240	last_breed_formation_generation	False	TRUE	0.246	(0.23, 0.262)	0.497	(0.435, 0.56)	0.15739	(0.15434, 0.16043)	0.03298	0.34828	(0.34551, 0.35104)	0.19583	2.7266
chr3	6575	18	10	61	190	last_breed_formation_generation	True	TRUE	0.364	(0.344, 0.383)	0.718	(0.651, 0.785)	0.14917	(0.14452, 0.15383)	0.01159	0.36145	(0.35616, 0.36674)	0.19058	4.76488
chr3	635	28	9	64	235	last_breed_formation_generation	False	TRUE	0.305	(0.292, 0.318)	0.708	(0.653, 0.763)	0.15273	(0.14995, 0.15551)	0.00663	0.34858	(0.34512, 0.35203)	0.17859	3.76371
chr3	5645	9	11	129	130	last_breed_formation_generation	False	TRUE	0.606	(0.579, 0.632)	0.999	(0.998, 1.001)	0.09831	(0.09177, 0.10484)	0	0.36468	(0.35924, 0.37012)	0.14796	9.90746
chr3	6615	19	8	113	645	last_breed_formation_generation	False	TRUE	0.197	(0.182, 0.211)	0.42	(0.372, 0.469)	0.1726	(0.1694, 0.1758)	0.04529	0.35121	(0.34799, 0.35443)	0.20743	2.98387
chr38	3440	33	9	51	335	last_breed_formation_generation	False	TRUE	0.2	(0.188, 0.211)	0.338	(0.304, 0.372)	0.16523	(0.16164, 0.16883)	0.05137	0.33935	(0.33557, 0.34314)	0.20416	3.36531
chr3	6280	46	10	70	215	last_breed_formation_generation	False	TRUE	0.222	(0.212, 0.232)	0.431	(0.385, 0.476)	0.14802	(0.14589, 0.15016)	0.02898	0.34624	(0.34383, 0.34865)	0.19652	3.01045
chr3	2570	29	11	63	285	last_breed_formation_generation	False	TRUE	0.251	(0.238, 0.265)	0.537	(0.478, 0.597)	0.1573	(0.15375, 0.16085)	0.02192	0.34901	(0.34621, 0.35182)	0.18917	2.59889
chr3	2745	24	11	60	250	last_breed_formation_generation	False	TRUE	0.321	(0.293, 0.349)	0.723	(0.642, 0.804)	0.14994	(0.14372, 0.15616)	0.01356	0.35075	(0.3477, 0.3538)	0.17887	4.3925
chr3	1500	93	9	58	305	last_breed_formation_generation	False	TRUE	0.158	(0.154, 0.163)	0.299	(0.274, 0.324)	0.14768	(0.1461, 0.14927)	0.02882	0.32699	(0.32529, 0.32868)	0.17619	4.25833
chr3	2465	30	11	64	215	last_breed_formation_generation	False	TRUE	0.285	(0.266, 0.303)	0.625	(0.549, 0.701)	0.14927	(0.14542, 0.15312)	0.01425	0.3487	(0.34537, 0.35203)	0.18267	3.46924
chr9	2950	15	10	67	280	last_breed_formation_generation	False	TRUE	0.357	(0.336, 0.378)	0.725	(0.658, 0.791)	0.15524	(0.14978, 0.16069)	0.01847	0.36135	(0.35532, 0.36738)	0.18774	4.60995
chr2	2265	28	12	46	315	last_breed_formation_generation	False	TRUE	0.27	(0.253, 0.286)	0.576	(0.517, 0.635)	0.1567	(0.15257, 0.16084)	0.0214	0.34733	(0.34371, 0.35095)	0.18458	2.90529
chr20	3840	35	6	52	360	last_breed_formation_generation	False	TRUE	0.152	(0.147, 0.158)	0.288	(0.256, 0.32)	0.174	(0.17207, 0.17594)	0.05926	0.32903	(0.32731, 0.33075)	0.19887	3.9116
chr3	3530	22	7	58	255	last_breed_formation_generation	True	TRUE	0.264	(0.244, 0.285)	0.542	(0.479, 0.606)	0.1683	(0.16342, 0.17318)	0.03228	0.34475	(0.34142, 0.34809)	0.18957	2.65344
chr3	3355	38	7	73	160	last_breed_formation_generation	True	TRUE	0.288	(0.28, 0.296)	0.586	(0.538, 0.634)	0.14488	(0.14306, 0.1467)	0.01115	0.34857	(0.34514, 0.35201)	0.17953	3.20056
chr3	2920	22	7	56	250	last_breed_formation_generation	True	TRUE	0.26	(0.247, 0.273)	0.54	(0.48, 0.60)	0.17022	(0.16702, 0.17342)	0.03201	0.34341	(0.3405, 0.34632)	0.18477	2.42645
chr3	2990	13	5	44	255	last_breed_formation_generation	True	TRUE	0.279	(0.264, 0.295)	0.533	(0.486, 0.579)	0.19019	(0.1857, 0.19467)	0.04269	0.35145	(0.34696, 0.35595)	0.19807	2.26264
chr3	3125	10	3	43	265	last_breed_formation_generation	True	TRUE	0.252	(0.237, 0.266)	0.452	(0.412, 0.491)	0.21224	(0.20822, 0.21626)	0.06281	0.34848	(0.34549, 0.35147)	0.20862	1.74386
chr3	3155	10	3	44	200	last_breed_formation_generation	True	TRUE	0.267	(0.25, 0.283)	0.506	(0.452, 0.561)	0.20598	(0.2016, 0.21036)	0.05321	0.35059	(0.34669, 0.35448)	0.20359	1.93163
chr3	3105	10	3	44	200	last_breed_formation_generation	True	TRUE	0.276	(0.255, 0.297)	0.507	(0.461, 0.553)	0.20459	(0.19833, 0.21085)	0.05743	0.34807	(0.3443, 0.35183)	0.19961	2.1347
chr3	3180	10	3	42	130	last_breed_formation_generation	True	TRUE	0.3	(0.286, 0.314)	0.592	(0.534, 0.649)	0.19871	(0.19536, 0.20206)	0.04639	0.35468	(0.35077, 0.35858)	0.19636	2.36885
chr3	3085	9	3	43	100	last_breed_formation_generation	True	TRUE	0.352	(0.33, 0.373)	0.725	(0.654, 0.796)	0.18831	(0.18308, 0.19354)	0.02709	0.36007	(0.35618, 0.36397)	0.19339	3.84242
chr3	2860	9	2	45	135	last_breed_formation_generation	True	TRUE	0.288	(0.276, 0.30)	0.56	(0.521, 0.599)	0.2063	(0.20281, 0.20979)	0.05122	0.35144	(0.34737, 0.35551)	0.19548	1.88367
chr1	4040	9	2	40	135	last_breed_formation_generation	True	TRUE	0.265	(0.245, 0.285)	0.521	(0.468, 0.575)	0.21133	(0.2054, 0.21725)	0.06334	0.3497	(0.34584, 0.35357)	0.20853	1.80966
chr1	4055	9	2	40	130	last_breed_formation_generation	True	TRUE	0.264	(0.249, 0.279)	0.561	(0.507, 0.616)	0.21322	(0.20814, 0.2183)	0.06408	0.34677	(0.34353, 0.35)	0.20045	1.58271
chr1	4165	10	2	40	130	last_breed_formation_generation	True	TRUE	0.272	(0.261, 0.283)	0.542	(0.505, 0.578)	0.20558	(0.20266, 0.20849)	0.05945	0.34934	(0.34648, 0.35221)	0.20251	1.69461
chr1	3710	5	1	45	140	last_breed_formation_generation	True	TRUE	0.303	(0.288, 0.317)	0.593	(0.549, 0.636)	0.24454	(0.24002, 0.24907)	0.07715	0.35729	(0.35367, 0.36092)	0.20817	1.44185
chr1	4085	8	1	40	105	last_breed_formation_generation	True	TRUE	0.29	(0.278, 0.302)	0.55	(0.517, 0.584)	0.21386	(0.21058, 0.21714)	0.06103	0.35423	(0.35047, 0.35798)	0.20869	1.7126
chr1	4085	7	1	40	115	last_breed_formation_generation	True	TRUE	0.284	(0.268, 0.30)	0.571	(0.523, 0.62)	0.22377	(0.21956, 0.22798)	0.06931	0.35041	(0.34795, 0.35287)	0.20645	1.59718
chr1	4125	7	1	40	115	last_breed_formation_generation	True	TRUE	0.256	(0.247, 0.265)	0.512	(0.465, 0.559)	0.23162	(0.22869, 0.23455)	0.078	0.35103	(0.34859, 0.35347)	0.21198	1.08399
chr1	4090	6	1	40	115	last_breed_formation_generation	True	TRUE	0.291	(0.277, 0.304)	0.558	(0.517, 0.599)	0.23484	(0.23072, 0.23896)	0.07553	0.35415	(0.35167, 0.35663)	0.20706	1.34443
chr1	4480	5	1	40	110	last_breed_formation_generation	True	TRUE	0.312	(0.304, 0.321)	0.59	(0.553, 0.626)	0.24217	(0.23878, 0.24556)	0.07571	0.35788	(0.35321, 0.36255)	0.20912	1.49256
chr1	4620	6	1	40	110	last_breed_formation_generation	True	TRUE	0.299	(0.281, 0.317)	0.612	(0.548, 0.676)	0.23146	(0.22584, 0.23708)	0.07144	0.35228	(0.3479, 0.35667)	0.2043	1.85949
chr1	4175	6	1	49	110	last_breed_formation_generation	True	TRUE	0.319	(0.302, 0.337)	0.665	(0.603, 0.728)	0.22291	(0.21628, 0.22954)	0.0589	0.35455	(0.3495, 0.3596)	0.20279	2.46863
chr1	4430	15	1	50	150	last_breed_formation_generation	True	TRUE	0.198	(0.188, 0.208)	0.402	(0.366, 0.439)	0.20018	(0.19731, 0.20304)	0.06865	0.33812	(0.33653, 0.33971)	0.20547	2.36476
chr1	3670	5	2	42	170	last_breed_formation_generation	True	TRUE	0.339	(0.317, 0.362)	0.651	(0.584, 0.718)	0.2331	(0.22509, 0.24111)	0.06235	0.36204	(0.35759, 0.36649)	0.20383	2.5581
chr1	4750	13	2	47	115	last_breed_formation_generation	True	TRUE	0.295	(0.286, 0.305)	0.63	(0.59, 0.67)	0.18386	(0.18141, 0.18631)	0.04383	0.34593	(0.34241, 0.34945)	0.19346	2.64069
chr1	4050	7	1	41	140	last_breed_formation_generation	True	TRUE	0.244	(0.233, 0.255)	0.453	(0.42, 0.487)	0.23799	(0.23359, 0.2424)	0.08793	0.34825	(0.34493, 0.35156)	0.21176	1.04603
chr1	4030	17	1	40	145	last_breed_formation_generation	True	TRUE	0.178	(0.172, 0.184)	0.333	(0.314, 0.352)	0.20132	(0.19982, 0.20283)	0.07067	0.33334	(0.33131, 0.33537)	0.20036	2.71086
chr1	4300	7	1	47	115	last_breed_formation_generation	True	TRUE	0.293	(0.277, 0.309)	0.593	(0.537, 0.65)	0.21996	(0.21429, 0.22563)	0.06468	0.35471	(0.35138, 0.35803)	0.20832	1.91093
chr1	5110	12	2	53	100	last_breed_formation_generation	True	TRUE	0.322	(0.303, 0.34)	0.635	(0.584, 0.687)	0.18067	(0.17642, 0.18492)	0.03674	0.35562	(0.3522, 0.35905)	0.19598	3.20793
chr1	4565	7	4	40	165	last_breed_formation_generation	True	TRUE	0.385	(0.361, 0.408)	0.739	(0.66, 0.818)	0.19324	(0.18589, 0.20059)	0.03311	0.36565	(0.35952, 0.37178)	0.19984	4.30786
chr1	3715	15	1	46	120	last_breed_formation_generation	True	TRUE	0.231	(0.221, 0.241)	0.472	(0.43, 0.515)	0.19456	(0.19191, 0.1972)	0.05909	0.3394	(0.33684, 0.34195)	0.1971	1.77453
chr1	4040	79	2	42	180	last_breed_formation_generation	True	TRUE	0.142	(0.135, 0.149)	0.269	(0.25, 0.288)	0.1537	(0.15217, 0.15524)	0.03987	0.32313	(0.32136, 0.3249)	0.17996	4.49349
chr1	4270	12	1	49	150	last_breed_formation_generation	True	TRUE	0.222	(0.214, 0.229)	0.422	(0.40, 0.444)	0.20711	(0.205, 0.20923)	0.06793	0.34134	(0.3382, 0.34448)	0.2034	1.68932
chr1	4320	7	1	49	145	last_breed_formation_generation	True	TRUE	0.257	(0.244, 0.271)	0.496	(0.456, 0.535)	0.23134	(0.22693, 0.23574)	0.07891	0.35196	(0.34918, 0.35474)	0.21425	1.21843
chr1	4285	5	2	49	145	last_breed_formation_generation	True	TRUE	0.366	(0.339, 0.392)	0.746	(0.664, 0.827)	0.22391	(0.21458, 0.23324)	0.05423	0.36455	(0.35923, 0.36987)	0.20508	3.51322
chr1	3890	16	1	45	140	last_breed_formation_generation	True	TRUE	0.213	(0.201, 0.224)	0.47	(0.421, 0.519)	0.19513	(0.19215, 0.19811)	0.06086	0.33645	(0.33473, 0.33818)	0.1975	2.07668
chr1	4695	12	2	51	125	last_breed_formation_generation	True	TRUE	0.289	(0.272, 0.306)	0.639	(0.569, 0.709)	0.18959	(0.18493, 0.19425)	0.04745	0.35038	(0.34725, 0.35352)	0.19641	2.69328
chr1	5005	12	1	42	180	last_breed_formation_generation	True	TRUE	0.194	(0.185, 0.203)	0.36	(0.333, 0.387)	0.21679	(0.21428, 0.2193)	0.08265	0.33767	(0.33596, 0.33939)	0.2089	2.17238
chr1	4480	20	1	49	155	last_breed_formation_generation	True	TRUE	0.193	(0.182, 0.203)	0.373	(0.34, 0.405)	0.18957	(0.18707, 0.19207)	0.06229	0.33701	(0.33506, 0.33896)	0.20184	2.75368
chr1	3755	7	2	47	170	last_breed_formation_generation	True	TRUE	0.292	(0.271, 0.312)	0.578	(0.511, 0.644)	0.22321	(0.21685, 0.22957)	0.06292	0.35922	(0.35636, 0.36207)	0.21112	1.88572
chr1	4230	5	1	54	130	last_breed_formation_generation	True	TRUE	0.324	(0.309, 0.338)	0.653	(0.598, 0.708)	0.2354	(0.23, 0.2408)	0.06776	0.35443	(0.35111, 0.35774)	0.19919	2.14596
chr38	3565	11	1	45	120	last_breed_formation_generation	True	TRUE	0.202	(0.186, 0.217)	0.397	(0.349, 0.445)	0.2049	(0.19989, 0.2099)	0.08445	0.34664	(0.34278, 0.35049)	0.2244	2.40673
chr28	3930	14	2	124	155	last_breed_formation_generation	True	TRUE	0.323	(0.311, 0.335)	0.696	(0.637, 0.755)	0.15217	(0.14939, 0.15495)	0.01573	0.35772	(0.35282, 0.36262)	0.18627	3.95377
chr1	4080	8	1	41	100	last_breed_formation_generation	True	TRUE	0.27	(0.257, 0.283)	0.525	(0.483, 0.567)	0.22038	(0.21671, 0.22405)	0.06995	0.3495	(0.34672, 0.35228)	0.2041	1.48779
chr1	4405	8	1	42	605	last_breed_formation_generation	True	TRUE	0.147	(0.141, 0.154)	0.262	(0.227, 0.298)	0.25721	(0.255, 0.25941)	0.12879	0.32872	(0.32607, 0.33137)	0.21427	2.94863
chr1	4190	17	2	43	100	last_breed_formation_generation	True	TRUE	0.254	(0.242, 0.266)	0.514	(0.478, 0.55)	0.18076	(0.17742, 0.18409)	0.04531	0.3468	(0.3442, 0.3494)	0.19718	2.12491
chr1	4945	7	1	48	140	last_breed_formation_generation	True	TRUE	0.266	(0.256, 0.277)	0.537	(0.502, 0.572)	0.22941	(0.22586, 0.23295)	0.07933	0.35057	(0.3483, 0.35284)	0.20928	1.14221
chr1	4930	7	1	46	140	last_breed_formation_generation	True	TRUE	0.263	(0.248, 0.278)	0.537	(0.485, 0.59)	0.22982	(0.22529, 0.23436)	0.0782	0.34945	(0.34571, 0.35319)	0.21074	1.24184
chr9	4870	7	1	45	185	last_breed_formation_generation	True	TRUE	0.215	(0.202, 0.229)	0.398	(0.356, 0.44)	0.24172	(0.23722, 0.24622)	0.10887	0.34903	(0.3465, 0.35155)	0.23018	1.3708
chr9	5245	5	1	46	140	last_breed_formation_generation	True	TRUE	0.292	(0.274, 0.31)	0.559	(0.50, 0.618)	0.24151	(0.23543, 0.24759)	0.09268	0.35812	(0.35394, 0.36229)	0.225	1.38236
chr9	5270	5	1	52	185	last_breed_formation_generation	True	TRUE	0.253	(0.241, 0.266)	0.466	(0.431, 0.502)	0.25268	(0.24832, 0.25704)	0.11102	0.3553	(0.3526, 0.35799)	0.22868	1.13522
chr9	5405	7	1	52	170	last_breed_formation_generation	True	TRUE	0.231	(0.22, 0.243)	0.472	(0.418, 0.526)	0.23363	(0.23046, 0.2368)	0.09687	0.35088	(0.34873, 0.35303)	0.22699	1.01021
chr9	5355	14	3	52	190	last_breed_formation_generation	True	TRUE	0.235	(0.221, 0.25)	0.436	(0.396, 0.475)	0.19106	(0.18688, 0.19524)	0.06898	0.3458	(0.34203, 0.34957)	0.21624	2.05916
chr9	4930	7	1	47	170	last_breed_formation_generation	True	TRUE	0.225	(0.213, 0.238)	0.449	(0.397, 0.501)	0.23631	(0.23182, 0.2408)	0.10477	0.34698	(0.34423, 0.34972)	0.22387	1.17576
chr9	5220	7	1	47	190	last_breed_formation_generation	True	TRUE	0.218	(0.205, 0.23)	0.417	(0.372, 0.461)	0.23858	(0.23503, 0.24214)	0.10636	0.34721	(0.34398, 0.35044)	0.22714	1.30241
chr9	5535	11	1	54	185	last_breed_formation_generation	True	TRUE	0.186	(0.176, 0.196)	0.347	(0.319, 0.376)	0.21656	(0.2137, 0.21941)	0.09489	0.34331	(0.34111, 0.34551)	0.22843	2.35688
chr9	5265	7	2	51	225	last_breed_formation_generation	True	TRUE	0.24	(0.223, 0.257)	0.441	(0.395, 0.487)	0.23084	(0.22492, 0.23676)	0.09716	0.3537	(0.34971, 0.3577)	0.23145	1.3441
chr9	4975	7	2	51	225	last_breed_formation_generation	True	TRUE	0.26	(0.242, 0.277)	0.489	(0.449, 0.529)	0.22442	(0.21927, 0.22958)	0.08701	0.35057	(0.34762, 0.35351)	0.22241	1.49651
chr9	4890	11	2	48	200	last_breed_formation_generation	True	TRUE	0.203	(0.192, 0.214)	0.353	(0.326, 0.38)	0.21454	(0.21157, 0.21751)	0.09029	0.34151	(0.33936, 0.34366)	0.21881	2.15586
chr9	5230	8	1	106	165	last_breed_formation_generation	True	TRUE	0.297	(0.284, 0.31)	0.648	(0.60, 0.696)	0.19193	(0.18866, 0.1952)	0.04877	0.35584	(0.35249, 0.35919)	0.20052	2.61566
chr9	5885	19	2	53	170	last_breed_formation_generation	True	TRUE	0.189	(0.18, 0.198)	0.377	(0.346, 0.408)	0.18885	(0.18674, 0.19097)	0.07226	0.33785	(0.33546, 0.34024)	0.21311	2.76428
