CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
B1,119286518,119399723,"Mannosidosis, beta",Lysosomal storage disease,yes,yes,MANBA,"mannosidase, beta A, lysosomal",https://www.omia.org/OMIA000626/9685/,https://www.omia.org/gene389717523/,
X,56708833,57152819,"Hypohidrotic ectodermal dysplasia, X-linked, EDA-related",Integument (skin) phene,yes,yes,EDA,ectodysplasin A,https://www.omia.org/OMIA000543/9685/,https://www.omia.org/gene398298911/,
,,,Wolff-Parkinson-White syndrome,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001194/9685/,,
,,,"Cardiomyopathy, hypertrophic, TNNT2-related",Cardiovascular system phene,yes,yes,,,https://www.omia.org/OMIA002304/9685/,,VBO_0100154
,,,Brachycephaly,Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA001551/9685/,,"VBO_0100052, VBO_0100053, VBO_0100096, VBO_0100117, VBO_0100188, VBO_0100209"
-,-,-,"Cardiomyopathy, hypertrophic",Cardiovascular system phene,yes,yes,MYBPC3,"myosin binding protein C, cardiac",https://www.omia.org/OMIA000515/9685/,https://www.omia.org/gene4193875/,"VBO_0100003, VBO_0100005, VBO_0100018, VBO_0100114, VBO_0100154, VBO_0100155, VBO_0100169, VBO_0100178, VBO_0100188, VBO_0100192, VBO_0100195, VBO_0100196, VBO_0100209, VBO_0100223, VBO_0100230"
A3,24990144,24826711,"Coat colour, agouti",Pigmentation phene,yes,no,ASIP,agouti signaling protein,https://www.omia.org/OMIA000201/9685/,https://www.omia.org/gene492297/,
D4,38129829,38148710,"Coat colour, brown, TYRP1-related",Pigmentation phene,yes,no,TYRP1,tyrosinase-related protein 1,https://www.omia.org/OMIA001249/9685/,https://www.omia.org/gene554339/,
C1,218193106,218236641,"Coat colour, dilution, MLPH-related",Pigmentation phene,yes,no,MLPH,melanophilin,https://www.omia.org/OMIA000031/9685/,https://www.omia.org/gene39043912/,
E2,61570045,61570998,"Coat colour, extension",Pigmentation phene,yes,no,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),https://www.omia.org/OMIA001199/9685/,https://www.omia.org/gene493917/,"VBO_0100053, VBO_0100146, VBO_0100178"
B1,161389917,161303938,"Coat colour, white spotting, KIT-related",Pigmentation phene,yes,no,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,https://www.omia.org/OMIA001737/9685/,https://www.omia.org/gene3489856/,
D1,44023716,43917548,"Coat/skin colour, oculocutaneous albinism type I (OCA1), TYR-related",Pigmentation phene,yes,yes,TYR,tyrosinase,https://www.omia.org/OMIA000202/9685/,https://www.omia.org/gene8987887/,
A1,22864240,22866264,"Curly/woolly coat, LPAR6-related",Integument (skin) phene,yes,no,LPAR6,lysophosphatidic acid receptor 6,https://www.omia.org/OMIA001684/9685/,https://www.omia.org/gene389724742/,"VBO_0100077, VBO_0100107"
E2,20064299,20093712,"Cystinuria, type B",Renal / urinary system phene,yes,yes,SLC7A9,"solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9",https://www.omia.org/OMIA002023/9685/,https://www.omia.org/gene389722333/,"VBO_0100154, VBO_0100155, VBO_0100221, VBO_0100223, VBO_0100230"
D3,18746862,18711473,"Ears, folded (drop vs prick)",Hearing / vestibular / ear phene,yes,yes,TRPV4,"transient receptor potential cation channel, subfamily V, member 4",https://www.omia.org/OMIA000319/9685/,https://www.omia.org/gene389717006/,"VBO_0100099, VBO_0100112, VBO_0100209, VBO_0100210"
A1,172783544,172796093,Factor XII deficiency,Haematopoietic system phene,yes,yes,F12,coagulation factor XII (Hageman factor),https://www.omia.org/OMIA000364/9685/,https://www.omia.org/gene389090104/,"VBO_0100018, VBO_0100036, VBO_0100040, VBO_0100041, VBO_0100045, VBO_0100052, VBO_0100080, VBO_0100084, VBO_0100086, VBO_0100091, VBO_0100096, VBO_0100114, VBO_0100117, VBO_0100153, VBO_0100154, VBO_0100155, VBO_0100156, VBO_0100163, VBO_0100164, VBO_0100169, VBO_0100170, VBO_0100173, VBO_0100178, VBO_0100183, VBO_0100184, VBO_0100188, VBO_0100189, VBO_0100196, VBO_0100200, VBO_0100208, VBO_0100209, VBO_0100213, VBO_0100214, VBO_0100215, VBO_0100221, VBO_0100223, VBO_0100230, VBO_0100234, VBO_0100249, VBO_0100250"
B1,161389917,161303938,"Feet, white (gloving)",Pigmentation phene,yes,no,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,https://www.omia.org/OMIA001580/9685/,https://www.omia.org/gene3489856/,
B1,37929924,37905816,Hyperlipoproteinaemia,Homeostasis / metabolism phene,yes,yes,LPL,lipoprotein lipase,https://www.omia.org/OMIA001210/9685/,https://www.omia.org/gene39007204/,
B4,78946430,78936910,"Hypotrichosis, with whiskers short and curled",Integument (skin) phene,yes,yes,KRT71,"keratin 71, type II",https://www.omia.org/OMIA001583/9685/,https://www.omia.org/gene5778227/,VBO_0100230
A2,91762620,91528480,"Multidrug resistance 1, ABCB1-related",Homeostasis / metabolism phene,yes,yes,ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",https://www.omia.org/OMIA001402/9685/,https://www.omia.org/gene388257278/,"VBO_0100036, VBO_0100154, VBO_0100155, VBO_0100196, VBO_0100200, VBO_0100221, VBO_0100249"
C2,132565923,132505730,Muscular dystrophy-dystroglycanopathy (limb-girdle),Muscle phene,yes,yes,COLQ,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,https://www.omia.org/OMIA001621/9685/,https://www.omia.org/gene389722932/,
-,-,-,Polydactyly,Skeleton phene (incl. short stature & teeth),yes,yes,SHH,sonic hedgehog,https://www.omia.org/OMIA000810/9685/,https://www.omia.org/gene28713538/,"VBO_0100154, VBO_0100191"
A2,167593572,167440874,Polydactyly,Skeleton phene (incl. short stature & teeth),yes,yes,LMBR1,limb development membrane protein 1,https://www.omia.org/OMIA000810/9685/,https://www.omia.org/gene389719890/,"VBO_0100154, VBO_0100191"
-,-,-,Pyruvate kinase deficiency of erythrocyte,Homeostasis / metabolism phene,yes,yes,PKLR,pyruvate kinase deficiency,https://www.omia.org/OMIA000844/9685/,https://www.omia.org/gene83148766/,"VBO_0100000, VBO_0100040, VBO_0100062, VBO_0100068, VBO_0100090, VBO_0100094, VBO_0100114, VBO_0100116, VBO_0100150, VBO_0100153, VBO_0100154, VBO_0100155, VBO_0100164, VBO_0100169, VBO_0100173, VBO_0100178, VBO_0100191, VBO_0100192, VBO_0100208, VBO_0100224, VBO_0100229, VBO_0100245"
A3,26544829,26503288,"Retinal atrophy, progressive, KIF3B-related",Vision / eye phene,yes,yes,KIF3B,kinesin family member 3B,https://www.omia.org/OMIA002267/9685/,https://www.omia.org/gene389723617/,"VBO_0100040, VBO_0100114, VBO_0100116, VBO_0100208"
B4,110371062,110277873,Retinal degeneration II,Vision / eye phene,yes,yes,CEP290,centrosomal protein 290kDa,https://www.omia.org/OMIA001244/9685/,https://www.omia.org/gene30037565/,"VBO_0100000, VBO_0100007, VBO_0100018, VBO_0100021, VBO_0100036, VBO_0100040, VBO_0100074, VBO_0100077, VBO_0100084, VBO_0100086, VBO_0100094, VBO_0100108, VBO_0100114, VBO_0100154, VBO_0100156, VBO_0100169, VBO_0100179, VBO_0100183, VBO_0100184, VBO_0100189, VBO_0100192, VBO_0100196, VBO_0100208, VBO_0100209, VBO_0100221, VBO_0100224, VBO_0100229, VBO_0100230, VBO_0100234, VBO_0100241"
A1,158695639,158633180,"Spinal muscular atrophy, LIX1-related",Nervous system phene,yes,yes,LIX1,Lix1 homolog (chicken),https://www.omia.org/OMIA002389/9685/,https://www.omia.org/gene3615802/,"VBO_0100114, VBO_0100154, VBO_0100155"
A1,195495804,195481259,"Gangliosidosis, GM2, (AB variant), GM2A-related",Lysosomal storage disease,yes,yes,GM2A,GM2 ganglioside activator,https://www.omia.org/OMIA001427/9685/,https://www.omia.org/gene39653539/,
,,,"Lipidosis, hepatic",Liver/biliary system phene,unknown,yes,,,https://www.omia.org/OMIA000605/9685/,,
,,,"Lipidosis, hepatic (redundant)",,unknown,unknown,,,https://www.omia.org/OMIA000548/9685/,,
D4,93735906,93587273,"classical Ehlers-Danlos syndrome (cEDS), COL5A1-related",Integument (skin) phene,yes,yes,COL5A1,"collagen, type V, alpha 1",https://www.omia.org/OMIA002165/9685/,https://www.omia.org/gene389748761/,"VBO_0100040, VBO_0100045, VBO_0100154"
,,,Nasolacrimal duct obstruction,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA002852/9685/,,VBO_0100188
B1,161389917,161303938,"Coat colour, dominant white",Pigmentation phene,yes,no,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,https://www.omia.org/OMIA000209/9685/,https://www.omia.org/gene3489856/,
E2,18601998,18599769,Cat allergen,Normal phene,yes,no,CH2,"major allergen I, polypeptide chain 2",https://www.omia.org/OMIA002593/9685/,https://www.omia.org/gene388327412/,
D2,77547909,77438134,"Hair morphology, glitter",Integument (skin) phene,yes,no,FGFR2,fibroblast growth factor receptor 2,https://www.omia.org/OMIA001313/9685/,https://www.omia.org/gene398298879/,"VBO_0100040, VBO_0100090, VBO_0100245"
X,114343084,114374619,Haemophilia B,Haematopoietic system phene,yes,yes,F9,coagulation factor IX,https://www.omia.org/OMIA000438/9685/,https://www.omia.org/gene493973/,
,,,Holoprosencephaly,Craniofacial phene,unknown,unknown,,,https://www.omia.org/OMIA000478/9685/,,
,,,Osteosarcoma,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001441/9685/,,
,,,"Chondrodysplasia, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000187/9685/,,
,,,"Coat colour, white spotting",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA000214/9685/,,
,,,"Lissencephaly, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002771/9685/,,
,,,Uterine aplasia,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002822/9685/,,
,,,"Deafness and eye colour, blue (inactive)",Vision / eye phene,unknown,unknown,,,https://www.omia.org/OMIA002818/9685/,,
X,29120869,26741260,"Muscular dystrophy, Duchenne type",Muscle phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001081/9685/,https://www.omia.org/gene83148765/,VBO_0100154
,,,Anencephaly/Exencephaly,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000044/9685/,,
,,,Atresia intestinal,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000087/9685/,,
,,,Brachygnathia superior,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000149/9685/,,
,,,"Amyloidosis, AA",Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000038/9685/,,"VBO_0100000, VBO_0100221"
E1,13611451,13592613,"Encephalopathy, ASPA-related",Nervous system phene,yes,yes,ASPA,aspartoacylase,https://www.omia.org/OMIA002325/9685/,https://www.omia.org/gene389723715/,
A3,24990144,24826711,"Coat colour and pattern, charcoal, ASIP-related",Pigmentation phene,yes,no,ASIP,agouti signaling protein,https://www.omia.org/OMIA002549/9685/,https://www.omia.org/gene492297/,VBO_0100040
B1,164895076,165152497,"Coat colour, golden",Pigmentation phene,yes,no,CORIN,"corin, serine peptidase",https://www.omia.org/OMIA002159/9685/,https://www.omia.org/gene389725642/,VBO_0100223
A1,94476921,94551700,"Coat colour, tabby",Pigmentation phene,yes,no,LVRN,laeverin,https://www.omia.org/OMIA001429/9685/,https://www.omia.org/gene389754316/,
B4,78946430,78936910,"Curly coat, Devon rex",Integument (skin) phene,yes,no,KRT71,"keratin 71, type II",https://www.omia.org/OMIA001581/9685/,https://www.omia.org/gene5778227/,VBO_0100084
B4,78946430,78936910,"Curly coat, Selkirk rex",Integument (skin) phene,yes,no,KRT71,"keratin 71, type II",https://www.omia.org/OMIA001712/9685/,https://www.omia.org/gene5778227/,VBO_0100215
C2,81733051,81780083,"Curly coat, Ural Rex",Integument (skin) phene,yes,no,LIPH,"lipase, member H",https://www.omia.org/OMIA002273/9685/,https://www.omia.org/gene389722807/,
B1,139655222,139633522,"Hair, long",Integument (skin) phene,yes,no,FGF5,fibroblast growth factor 5,https://www.omia.org/OMIA000439/9685/,https://www.omia.org/gene39625877/,
F2,62141215,61852911,"Osteochondromatosis, EXT1-related",Skeleton phene (incl. short stature & teeth),yes,yes,EXT1,exostosin glycosyltransferase 1,https://www.omia.org/OMIA002554/9685/,https://www.omia.org/gene389714517/,
B2,148715064,148706296,"Tail, short",Skeleton phene (incl. short stature & teeth),yes,yes,TBXT,T-box transcription factor T,https://www.omia.org/OMIA000975/9685/,https://www.omia.org/gene389727276/,"VBO_0100003, VBO_0100156, VBO_0100191"
,,,Resistance/susceptibility to feline infectious peritonitis,Immune system phene,no,yes,,,https://www.omia.org/OMIA001793/9685/,,
,,,Retinoschisis,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA001185/9685/,,
D2,62168085,62117221,"Epidermolysis bullosa, junctionalis, COL17A1-related",Integument (skin) phene,yes,yes,COL17A1,"collagen, type XVII, alpha 1",https://www.omia.org/OMIA002793/9685/,https://www.omia.org/gene389725616/,"VBO_0100018, VBO_0100094"
,,,"Vena cava defect, generic",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA002791/9685/,,
,,,Odontoclastic tooth resorption,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA002789/9685/,,
,,,"Hernia, generic",Growth / size / body region phene,unknown,unknown,,,https://www.omia.org/OMIA000455/9685/,,
,,,Resistance/susceptibility to dermatophytosis,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA002530/9685/,,
B4,132502418,132508873,Resistance/susceptibility to lentivirus,Immune system phene,yes,yes,APOBEC3C,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C",https://www.omia.org/OMIA001694/9685/,https://www.omia.org/gene388999956/,
,,,"Spongiform encephalopathy, susceptibility/resistance to",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000944/9685/,,
,,,Fanconi syndrome,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000366/9685/,,VBO_0100230
,,,Obesity,Adipose tissue phene,no,yes,,,https://www.omia.org/OMIA001258/9685/,,
,,,"Hemimelia, radial",Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA002225/9685/,,VBO_0100221
,,,"Cholelithiasis, susceptibility to",Liver/biliary system phene,unknown,yes,,,https://www.omia.org/OMIA002782/9685/,,
,,,"Colonic agenesis, congenital partial",Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA002781/9685/,,
,,,Intervertebral disc disease,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000157/9685/,,
,,,"Melanoma, generic",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002231/9685/,,
F2,81959727,81968240,"Adrenal hyperplasia, congenital, due to 11-beta hydroxylase deficiency",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,CYP11B1,,https://www.omia.org/OMIA001661/9685/,https://www.omia.org/gene389841199/,
,,,Cryptorchidism,Reproductive system phene,no,yes,,,https://www.omia.org/OMIA000243/9685/,,
,,,"Sex chromosome difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002776/9685/,,
A2,157182688,157217438,Myotonia,Muscle phene,yes,yes,CLCN1,"chloride channel, voltage-sensitive 1",https://www.omia.org/OMIA000698/9685/,https://www.omia.org/gene389719640/,
,,,External auditory canal atresia,Hearing / vestibular / ear phene,unknown,yes,,,https://www.omia.org/OMIA002751/9685/,,
,,,Umami taste perception,Taste / olfaction phene,unknown,no,,,https://www.omia.org/OMIA002743/9685/,,
A1,19504571,19582654,Wilson disease,Liver/biliary system phene,yes,yes,ATP7B,"ATPase, Cu++ transporting, beta polypeptide",https://www.omia.org/OMIA001071/9685/,https://www.omia.org/gene389721739/,
A1,90852243,91097387,"Dermatosparaxis Ehlers-Danlos syndrome (dEDS), ADAMTS2-related",Integument (skin) phene,yes,yes,ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",https://www.omia.org/OMIA000328/9685/,https://www.omia.org/gene389725682/,VBO_0100117
,,,"Chromosomal abnormality, generic",Chromosomal disorder,unknown,yes,,,https://www.omia.org/OMIA002657/9685/,,
B4,74708938,74651984,"Vitamin D-deficiency rickets, type II",Skeleton phene (incl. short stature & teeth),yes,yes,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",https://www.omia.org/OMIA001431/9685/,https://www.omia.org/gene389093107/,
,,,"Diabetes mellitus, type 2",Endocrine / exocrine gland phene (incl mammary gland),no,yes,,,https://www.omia.org/OMIA000284/9685/,,
E2,9501906,9490608,"Retinal atrophy - Rod-cone dysplasia, CRX related",Vision / eye phene,yes,yes,CRX,cone-rod homeobox,https://www.omia.org/OMIA000881/9685/,https://www.omia.org/gene30205854/,"VBO_0100000, VBO_0100229"
B4,107851193,107872185,"Frontonasal dysplasia, ALX1-related",Craniofacial phene,yes,yes,ALX1,ALX homeobox 1,https://www.omia.org/OMIA002717/9685/,https://www.omia.org/gene389724544/,VBO_0100053
B1,132565063,132514456,Polycystic kidney disease-2,Renal / urinary system phene,yes,yes,PKD2,polycystic kidney disease 2 (autosomal dominant),https://www.omia.org/OMIA002525/9685/,https://www.omia.org/gene389727108/,VBO_0100223
A3,114827572,114884753,"Xanthinuria, type I",Renal / urinary system phene,yes,yes,XDH,xanthine dehydrogenase,https://www.omia.org/OMIA002445/9685/,https://www.omia.org/gene388257265/,
C2,156398990,156279158,"Gangliosidosis, GM1",Lysosomal storage disease,yes,yes,GLB1,"galactosidase, beta 1",https://www.omia.org/OMIA000402/9685/,https://www.omia.org/gene493927/,"VBO_0100143, VBO_0100221"
D3,46107852,46053183,"Niemann-Pick disease, type C1",Lysosomal storage disease,yes,yes,NPC1,"Niemann-Pick disease, type C1",https://www.omia.org/OMIA000725/9685/,https://www.omia.org/gene493693/,
,,,"Cystinuria, generic",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001878/9685/,,
,,,Patellar fracture and dental anomaly syndrome,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA002711/9685/,,
E1,40929732,40858676,"Enteropathy-associated T cell lymphoma, inducer of",Neoplasm,yes,yes,STAT5B,signal transducer and activator of transcription 5B,https://www.omia.org/OMIA002526/9685/,https://www.omia.org/gene389721130/,
B3,119515223,119408963,"Glaucoma 3, primary congenital",Vision / eye phene,yes,yes,LTBP2,latent transforming growth factor beta binding protein 2,https://www.omia.org/OMIA002017/9685/,https://www.omia.org/gene389715685/,VBO_0100221
C2,34811042,34520402,Glycogen storage disease IV,Homeostasis / metabolism phene,yes,yes,GBE1,"glucan (1,4-alpha-), branching enzyme 1",https://www.omia.org/OMIA000420/9685/,https://www.omia.org/gene493962/,VBO_0100178
B3,119403506,119394826,"Niemann-Pick disease, type C2",Lysosomal storage disease,yes,yes,NPC2,"Niemann-Pick disease, type C2",https://www.omia.org/OMIA002065/9685/,https://www.omia.org/gene389723750/,VBO_0100221
B4,84037172,84031492,"Vitamin D-deficiency rickets, type IA",Skeleton phene (incl. short stature & teeth),yes,yes,CYP27B1,"cytochrome P450, family 27, subfamily B, polypeptide 1",https://www.omia.org/OMIA000837/9685/,https://www.omia.org/gene83148754/,
A3,64041123,64078170,"Cystinuria, type I - A",Renal / urinary system phene,yes,yes,SLC3A1,"solute carrier family 3 (amino acid transporter heavy chain), member 1",https://www.omia.org/OMIA000256/9685/,https://www.omia.org/gene389723979/,
B3,73892875,73870474,"Cardiomyopathy, hypertrophic, MYH7-related",Cardiovascular system phene,yes,yes,MYH7,"myosin, heavy chain 7, cardiac muscle, beta",https://www.omia.org/OMIA002212/9685/,https://www.omia.org/gene389725536/,
-,-,-,Factor XI deficiency,Haematopoietic system phene,yes,yes,F11,coagulation factor XI,https://www.omia.org/OMIA000363/9685/,https://www.omia.org/gene388257317/,VBO_0100154
E1,18255680,18227070,"Hypotrichosis, with thymic aplasia",Integument (skin) phene,yes,yes,FOXN1,forkhead box N1,https://www.omia.org/OMIA001949/9685/,https://www.omia.org/gene389727538/,VBO_0100042
,,,"Cataract, generic",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000168/9685/,,"VBO_0100040, VBO_0100108, VBO_0100117"
,,,"Asthma, susceptibility",Respiratory system phene,unknown,yes,,,https://www.omia.org/OMIA002671/9685/,,
B4,135617319,135590834,"Methaemoglobinaemia, CYB5R3-related",Haematopoietic system phene,yes,yes,CYB5R3,,https://www.omia.org/OMIA002131/9685/,https://www.omia.org/gene398298741/,
,,,"Methaemoglobinaemia, generic",Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001171/9685/,,
,,,Sebaceous gland dysplasia,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001710/9685/,,
F1,20834296,20917184,"Sebaceous gland dysplasia, SOAT1-related",Integument (skin) phene,yes,yes,SOAT1,sterol O-acyltransferase 1,https://www.omia.org/OMIA002669/9685/,https://www.omia.org/gene389714446/,
E1,59327583,59343635,Glycogen storage disease II,Lysosomal storage disease,yes,yes,GAA,"glucosidase, alpha; acid",https://www.omia.org/OMIA000419/9685/,https://www.omia.org/gene389718049/,
,,,Mammary tumour,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001777/9685/,,
B3,97886153,97842945,L-2-hydroxyglutaricacidemia,Nervous system phene,yes,yes,L2HGDH,L-2-hydroxyglutarate dehydrogenase,https://www.omia.org/OMIA001371/9685/,https://www.omia.org/gene389723812/,
D1,110104987,110111745,Acromegaly,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,AIP,aryl hydrocarbon receptor interacting protein,https://www.omia.org/OMIA000008/9685/,https://www.omia.org/gene389722311/,
,,,Ectopic paw pads,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA002649/9685/,,
,,,Ameloblastoma,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002171/9685/,,
,,,Bullous pemphigoid,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001183/9685/,,
,,,Pemphigus,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001188/9685/,,
,,,Anterior segment dysgenesis,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA002636/9685/,,
,,,"Hypoadrenocorticism, primary",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000520/9685/,,
,,,Deficiency of cytosolic arylamine N-acetylation,Normal phene,yes,no,,,https://www.omia.org/OMIA001587/9685/,,
,,,Meningioma,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002634/9685/,,
C1,147539331,147398942,Fibrodysplasia ossificans,Muscle phene,yes,yes,ACVR1,"activin A receptor, type I",https://www.omia.org/OMIA000388/9685/,https://www.omia.org/gene389721592/,"VBO_0100117, VBO_0100154"
,,,Portosystemic shunt,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000817/9685/,,
,,,"Dystonia, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002069/9685/,,
,,,Epilepsy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000344/9685/,,
C1,105454360,105444764,Pyknodysostosis,Skeleton phene (incl. short stature & teeth),yes,yes,CTSK,cathepsin K,https://www.omia.org/OMIA002607/9685/,https://www.omia.org/gene389723115/,
,,,Recombination rate,Normal phene,no,no,,,https://www.omia.org/OMIA001691/9685/,,
,,,Mutation rate,Cellular phene,unknown,unknown,,,https://www.omia.org/OMIA002603/9685/,,
X,124898716,124928295,Verrucous epidermal keratinocytic nevi,Integument (skin) phene,yes,yes,NSDHL,NAD(P) dependent steroid dehydrogenase-like,https://www.omia.org/OMIA002117/9685/,https://www.omia.org/gene389725407/,
,,,"Neoplasm, generic",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002587/9685/,,
,,,"XY difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA001601/9685/,,
,,,Infectious peritonitis (redundant),,unknown,unknown,,,https://www.omia.org/OMIA001720/9685/,,
,,,Leg weakness,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000585/9685/,,
