CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
,,,"Drug metabolism, altered",Homeostasis / metabolism phene,unknown,unknown,,,https://www.omia.org/OMIA002421/9823/,,
X,29650728,27028223,"Muscular dystrophy, Becker type",Muscle phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001888/9823/,https://www.omia.org/gene170243229/,
10,32355444,32275173,"Ciliary dyskinesia, primary, DNAI1-related",Respiratory system phene,yes,yes,DNAI1,dynein axonemal intermediate chain 1,https://www.omia.org/OMIA002885/9823/,https://www.omia.org/gene398298934/,
,,,Leptin concentration,Homeostasis / metabolism phene,yes,no,,,https://www.omia.org/OMIA001404/9823/,,
5,69016954,69448428,"Long QT syndrome, CACNA1C-related",Cardiovascular system phene,yes,yes,CACNA1C,calcium voltage-gated channel subunit alpha1 C,https://www.omia.org/OMIA002886/9823/,https://www.omia.org/gene398298935/,VBO_0001163
,,,"XX difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000901/9823/,,
12,120978543,121002512,"Diabetes mellitus, HNF1A-related",Homeostasis / metabolism phene,yes,yes,HNF1A,HNF1 homeobox A,https://www.omia.org/OMIA002878/9823/,https://www.omia.org/gene398298927/,
12,52540636,52536738,"Cardiovascular disease risk, ASGR1-related",Cardiovascular system phene,yes,yes,ASGR1,asialoglycoprotein receptor 1,https://www.omia.org/OMIA002477/9823/,https://www.omia.org/gene389357997/,VBO_0012741
4,119793993,119794074,MIR137-deficiency,Mortality / aging (incl. embryonic lethal),yes,yes,MIR137,microRNA mir-137,https://www.omia.org/OMIA002860/9823/,https://www.omia.org/gene398298909/,
,,,Resistance/susceptibility to African swine fever virus (ASFV),Immune system phene,no,yes,,,https://www.omia.org/OMIA002497/9823/,,
,3841291,3676148,Immunoglobulin heavy chain deficiency,Immune system phene,unknown,unknown,LOC396781,IgG heavy chain,https://www.omia.org/OMIA002856/9823/,https://www.omia.org/gene398298899/,
15,140347493,140337353,PDCD1-deficiency,Immune system phene,yes,yes,PDCD1,programmed cell death 1,https://www.omia.org/OMIA002851/9823/,https://www.omia.org/gene398298894/,
13,204905411,204874759,Resistance/susceptibility to avian influenza virus,Immune system phene,unknown,yes,TMPRSS2,transmembrane serine protease 2,https://www.omia.org/OMIA002660/9823/,https://www.omia.org/gene398298893/,
,,,Epilepsy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000344/9823/,,
8,1809768,1934002,Huntington disease,Nervous system phene,yes,yes,HTT,huntingtin,https://www.omia.org/OMIA000485/9823/,https://www.omia.org/gene388195279/,
2,1496417,1469183,"Muscle growth, IGF2-related",Muscle phene,unknown,no,IGF2,insulin-like growth factor 2,https://www.omia.org/OMIA002467/9823/,https://www.omia.org/gene388195184/,
15,94628440,94623526,Muscular hypertrophy (double muscling),Muscle phene,yes,no,MSTN,myostatin,https://www.omia.org/OMIA000683/9823/,https://www.omia.org/gene40202074/,
5,63300200,63334497,Resistance/susceptibility to porcine reproductive and respiratory syndrome  virus (PRRSV),Immune system phene,no,no,CD163,CD163 molecule,https://www.omia.org/OMIA001752/9823/,https://www.omia.org/gene388195296/,
7,55373856,55351081,Resistance/susceptibility to transmissible gastroenteritis virus (TGEV),Immune system phene,unknown,yes,ANPEP,alanyl (membrane) aminopeptidase,https://www.omia.org/OMIA002357/9823/,https://www.omia.org/gene388195765/,
,,,Male subfertility,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002354/9823/,,
12,52953786,52939643,"Cancer, TP53-related",Neoplasm,unknown,yes,TP53,tumor protein p53,https://www.omia.org/OMIA001990/9823/,https://www.omia.org/gene388195530/,
5,48508774,48546260,"Cancer, TP53-related",Neoplasm,unknown,yes,KRAS,Kirsten rat sarcoma viral oncogene homolog,https://www.omia.org/OMIA001990/9823/,https://www.omia.org/gene389258803/,
12,3799663,3795888,"Circovirus infection, susceptibility/resistance to",Immune system phene,no,yes,SYNGR2,synaptogyrin 2,https://www.omia.org/OMIA002829/9823/,https://www.omia.org/gene398298872/,
,,,"Carpal glands, number of",Limbs / fins / digit / tail phene,unknown,no,,,https://www.omia.org/OMIA002827/9823/,,
6,182187,181225,"Coat colour, extension",Pigmentation phene,yes,no,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),https://www.omia.org/OMIA001199/9823/,https://www.omia.org/gene40263209/,
,,,"Fecundity, generic",Reproductive system phene,no,no,,,https://www.omia.org/OMIA001943/9823/,,
,,,Imperforate anus (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000558/9823/,,
,,,"Alzheimer-like disease, generic",Nervous system phene,unknown,unknown,,,https://www.omia.org/OMIA000033/9823/,,
,,,"Deafness, generic",Hearing / vestibular / ear phene,unknown,yes,,,https://www.omia.org/OMIA000259/9823/,,
12,21354959,21379980,"Diabetes mellitus, type 2",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,IAPP,islet amyloid polypeptide,https://www.omia.org/OMIA000284/9823/,https://www.omia.org/gene388066383/,
6,52022667,52033959,"Diabetes mellitus, type 2",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,GIPR,gastric inhibitory polypeptide receptor,https://www.omia.org/OMIA000284/9823/,https://www.omia.org/gene389358675/,
,,,Polydactyly,Skeleton phene (incl. short stature & teeth),yes,yes,,,https://www.omia.org/OMIA000810/9823/,,VBO_0001163
,,,"Melanoma, Sinclair swine cutaneous malignant",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA000633/9823/,,
X,29650728,27028223,"Stress syndrome, DMD-related",Cardiovascular system phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001685/9823/,https://www.omia.org/gene170243229/,
2,8475360,8454362,LGALS12 deficiency,Adipose tissue phene,yes,no,LGALS12,galectin 12,https://www.omia.org/OMIA002812/9823/,https://www.omia.org/gene398298858/,
11,50102879,50073300,"Coat colour, white belt, EDNRB-related",Pigmentation phene,yes,no,EDNRB,endothelin receptor type B,https://www.omia.org/OMIA002808/9823/,https://www.omia.org/gene398298831/,"VBO_0012788, VBO_0012786, VBO_0012787, VBO_0012796"
13,68908578,68913651,"Retinal atrophy, progressive, autosomal dominant, RHO-related",Vision / eye phene,yes,yes,RHO,rhodopsin,https://www.omia.org/OMIA001346/9823/,https://www.omia.org/gene388195683/,
,,,Retinitis pigmentosa,Vision / eye phene,unknown,unknown,,,https://www.omia.org/OMIA001413/9823/,,
5,35917159,36016981,5-Hydroxytryptamine deficiency,Nervous system phene,yes,yes,TPH2,tryptophan hydroxylase 2,https://www.omia.org/OMIA002571/9823/,https://www.omia.org/gene389359413/,VBO_0012741
5,78380893,78350131,"Achondrogenesis, type II",Skeleton phene (incl. short stature & teeth),yes,yes,COL2A1,"collagen, type II, alpha 1",https://www.omia.org/OMIA001926/9823/,https://www.omia.org/gene388195571/,
13,189716120,189434854,"Alzheimer disease, APP-related",Nervous system phene,yes,yes,APP,amyloid beta (A4) precursor protein,https://www.omia.org/OMIA002538/9823/,https://www.omia.org/gene388195902/,
7,96478179,96567884,"Alzheimer disease, PSEN1-related",Nervous system phene,yes,yes,PSEN1,presenilin 1,https://www.omia.org/OMIA002493/9823/,https://www.omia.org/gene388385762/,
9,48435350,48653670,"Alzheimer, SORL1-related",Nervous system phene,unknown,yes,SORL1,sortilin related receptor 1,https://www.omia.org/OMIA002575/9823/,https://www.omia.org/gene398298848/,
13,195326573,195335273,"Amyotrophic lateral sclerosis, SOD1-related",Nervous system phene,yes,yes,SOD1,"superoxide dismutase 1, soluble",https://www.omia.org/OMIA002491/9823/,https://www.omia.org/gene388195301/,
6,71213584,71227707,"Amyotrophic lateral sclerosis, TARDBP-related",Nervous system phene,yes,yes,TARDBP,TAR DNA binding protein,https://www.omia.org/OMIA002492/9823/,https://www.omia.org/gene389469147/,
1,141887179,142001595,Angelman syndrome,Nervous system phene,unknown,unknown,UBE3A,ubiquitin protein ligase E3A,https://www.omia.org/OMIA002614/9823/,https://www.omia.org/gene398298849/,
9,36620656,36759555,Ataxia telangiectasia,Nervous system phene,yes,yes,ATM,ATM serine/threonine kinase,https://www.omia.org/OMIA002044/9823/,https://www.omia.org/gene388978721/,
,,,B-cell deficiency,Immune system phene,yes,yes,,,https://www.omia.org/OMIA002011/9823/,,
1,126878501,126865767,Beta-2-microglobulin deficiency,Immune system phene,yes,yes,B2M,beta-2-microglobulin,https://www.omia.org/OMIA002430/9823/,https://www.omia.org/gene388195298/,
-,-,-,"Cancer, RUNX-related",Neoplasm,yes,yes,RUNX3,runt-related transcription factor 3,https://www.omia.org/OMIA002054/9823/,https://www.omia.org/gene388198777/,
16,67481709,66447982,"Cardiomyopathy, hypertrophic, SGCD-related",Cardiovascular system phene,unknown,yes,SGCD,"sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)",https://www.omia.org/OMIA002211/9823/,https://www.omia.org/gene389076103/,
7,19917761,19879367,CMAH enzyme deficiency,Immune system phene,yes,no,CMAH,cytidine monophosphate-N-acetylneuraminic acid hydroxylase,https://www.omia.org/OMIA002410/9823/,https://www.omia.org/gene388195186/,
,87520,104065,"Conceptus elongation, IL1B2-related",Reproductive system phene,unknown,unknown,IL1B2,"interleukin 1, beta 2",https://www.omia.org/OMIA002356/9823/,https://www.omia.org/gene388194884/,
18,28818209,28627717,Cystic fibrosis,Digestive / alimentary phene,yes,yes,CFTR,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",https://www.omia.org/OMIA001794/9823/,https://www.omia.org/gene388198773/,
11,781252,774090,"Deafness, GJB2-related",Hearing / vestibular / ear phene,yes,yes,GJB2,gap junction protein beta 2,https://www.omia.org/OMIA002439/9823/,https://www.omia.org/gene398298844/,
17,61643263,61683178,"Deafness, OSBPL2-related",Hearing / vestibular / ear phene,unknown,yes,OSBPL2,oxysterol binding protein like 2,https://www.omia.org/OMIA002360/9823/,https://www.omia.org/gene398298837/,VBO_0012741
,,,Digestive enzyme deficiency,Normal phene,unknown,no,,,https://www.omia.org/OMIA002436/9823/,,
,,,"Disease resistance, beta defensin-related",Immune system phene,unknown,unknown,,,https://www.omia.org/OMIA002462/9823/,,
16,27126300,27422618,"Dwarfism, GHR-related",Skeleton phene (incl. short stature & teeth),yes,yes,GHR,growth hormone receptor,https://www.omia.org/OMIA001323/9823/,https://www.omia.org/gene388195733/,
2,116985303,116913354,Familial adenomatous polyposis,Neoplasm,yes,yes,APC,adenomatous polyposis coli,https://www.omia.org/OMIA001916/9823/,https://www.omia.org/gene389258593/,
3,73398379,73157744,GAPO syndrome,Skeleton phene (incl. short stature & teeth),yes,yes,ANTXR1,anthrax toxin receptor 1,https://www.omia.org/OMIA002544/9823/,https://www.omia.org/gene389255792/,
,,,Glioma susceptibility,Neoplasm,no,yes,,,https://www.omia.org/OMIA002012/9823/,,
,,,"Green fluorescent protein, transgenic",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002737/9823/,,
15,59312401,59408813,"Heart defect, congenital, SAP130-related",Cardiovascular system phene,yes,yes,SAP130,"Sin3A-associated protein, 130kDa",https://www.omia.org/OMIA002376/9823/,https://www.omia.org/gene389258361/,
6,157409620,157388370,"Hypercholesterolaemia, PCSK9-related",Homeostasis / metabolism phene,yes,unknown,PCSK9,proprotein convertase subtilisin/kexin type 9,https://www.omia.org/OMIA002329/9823/,https://www.omia.org/gene389354469/,VBO_0013234
6,51373113,51375333,"Hyperlipidaemia/atherosclerosis, APOE-related",Homeostasis / metabolism phene,yes,unknown,APOE,apolipoprotein E,https://www.omia.org/OMIA002063/9823/,https://www.omia.org/gene388195818/,
9,64841071,64834822,"Hypogonadotropic hypogonadism, KISS1-related",Reproductive system phene,yes,yes,KISS1,KiSS-1 metastasis-suppressor,https://www.omia.org/OMIA002619/9823/,https://www.omia.org/gene389001216/,"VBO_0001127, VBO_0001212"
14,6404968,6386900,"Hypotrichosis, HR-related",Integument (skin) phene,yes,yes,HR,hair growth associated,https://www.omia.org/OMIA002229/9823/,https://www.omia.org/gene388195858/,
,,,Inflammatory bowel disease,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA001687/9823/,,
13,68301566,68433951,"Intramuscular fat, PPARG-related",Adipose tissue phene,yes,no,PPARG,peroxisome proliferator-activated receptor gamma,https://www.omia.org/OMIA002496/9823/,https://www.omia.org/gene388195910/,
,,,Lactoferrin variation,Endocrine / exocrine gland phene (incl mammary gland),unknown,unknown,,,https://www.omia.org/OMIA002613/9823/,,
7,56267719,56263770,"Leigh syndrome, SURF1-related",Muscle phene,yes,yes,SURF1,surfeit 1,https://www.omia.org/OMIA002147/9823/,https://www.omia.org/gene389006197/,
1,99810934,99418242,Microvillus inclusion disease,Digestive / alimentary phene,yes,yes,MYO5B,myosin VB,https://www.omia.org/OMIA002247/9823/,https://www.omia.org/gene389261200/,
,,,Mucopolysaccharidosis IIIB,Lysosomal storage disease,unknown,yes,,,https://www.omia.org/OMIA001342/9823/,,
13,138905410,138881528,"Muscle hypertrophy, FBXO40-related",Muscle phene,yes,no,FBXO40,F-box protein 40,https://www.omia.org/OMIA002494/9823/,https://www.omia.org/gene389020037/,
1,129013508,128960117,"Muscular dystrophy, limb-girdle, CAPN3-related",Muscle phene,unknown,unknown,CAPN3,calpain 3,https://www.omia.org/OMIA002611/9823/,https://www.omia.org/gene388195596/,
6,83507471,83493200,"Muscular hypertrophy, TRIM63-related",Muscle phene,yes,no,TRIM63,"tripartite motif containing 63, E3 ubiquitin protein ligase",https://www.omia.org/OMIA002666/9823/,https://www.omia.org/gene389186998/,VBO_0001127
,,,MYF5/MYOD/MYF6 deficiency,Muscle phene,unknown,unknown,,,https://www.omia.org/OMIA002612/9823/,,
,,,"Neoplasm, generic",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002587/9823/,,
12,43754205,43487098,"Neurofibromatosis, type 1",Neoplasm,yes,yes,NF1,neurofibromin 1,https://www.omia.org/OMIA002241/9823/,https://www.omia.org/gene389264127/,
-,-,-,"Non-shivering thermiogenesis, absence of",Adipose tissue phene,unknown,yes,UCP1,uncoupling protein 1,https://www.omia.org/OMIA001436/9823/,https://www.omia.org/gene40387320/,
,,,Obesity,Adipose tissue phene,unknown,yes,,,https://www.omia.org/OMIA001258/9823/,,
X,34322398,34391711,Ornithine transcarbamylase deficiency,Homeostasis / metabolism phene,yes,yes,OTC,ornithine carbamoyltransferase,https://www.omia.org/OMIA002383/9823/,https://www.omia.org/gene388195684/,
11,5303609,5309063,"Pancreatic agenesis, PDX1-related",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,PDX1,pancreatic and duodenal homeobox 1,https://www.omia.org/OMIA002552/9823/,https://www.omia.org/gene388195541/,
6,68629327,68645147,"Parkinson disease, PARK7-related",Nervous system phene,yes,unknown,PARK7,parkinson protein 7,https://www.omia.org/OMIA002488/9823/,https://www.omia.org/gene388385755/,
,,,"Parkinson disease, PINK1-related",Nervous system phene,unknown,unknown,,,https://www.omia.org/OMIA002361/9823/,,VBO_0012741
1,5698508,6731132,"Parkinson disease, PRKN-related",Nervous system phene,yes,yes,PRKN,parkin RBR E3 ubiquitin protein ligase,https://www.omia.org/OMIA002748/9823/,https://www.omia.org/gene398298855/,VBO_0012741
8,129247724,129388307,"Parkinson disease, SNCA-related",Nervous system phene,unknown,yes,SNCA,synuclein alpha,https://www.omia.org/OMIA002378/9823/,https://www.omia.org/gene398298841/,
5,81385401,81460569,Phenylketonuria,Homeostasis / metabolism phene,yes,yes,PAH,,https://www.omia.org/OMIA002293/9823/,https://www.omia.org/gene398298753/,
8,131058932,131002973,Polycystic kidney disease-2,Renal / urinary system phene,yes,yes,PKD2,polycystic kidney disease 2 (autosomal dominant),https://www.omia.org/OMIA002525/9823/,https://www.omia.org/gene388312468/,
,,,Polyunsaturated fatty acid ratio,Adipose tissue phene,unknown,no,,,https://www.omia.org/OMIA002495/9823/,,
3,128897809,128880853,Resistance/susceptibility to classical swine fever virus (CSFV),Immune system phene,unknown,yes,RSAD2,radical S-adenosyl methionine domain containing 2,https://www.omia.org/OMIA002359/9823/,https://www.omia.org/gene388195046/,
7,19917761,19879367,Resistance/susceptibility to porcine epidemic diarrhea virus (PEDV),Immune system phene,unknown,yes,CMAH,cytidine monophosphate-N-acetylneuraminic acid hydroxylase,https://www.omia.org/OMIA002358/9823/,https://www.omia.org/gene388195186/,
12,53200570,53250566,Retinal atrophy - Cone-rod dystrophy 6,Vision / eye phene,yes,yes,GUCY2D,,https://www.omia.org/OMIA001929/9823/,https://www.omia.org/gene394659995/,
2,24573853,24565447,"Severe combined immunodeficiency disease, autosomal, T cell-negative, B cell-negative, NK cell-positive",Immune system phene,yes,yes,RAG1,recombination activating gene 1,https://www.omia.org/OMIA001574/9823/,https://www.omia.org/gene388195751/,
2,24547605,24553944,"Severe combined immunodeficiency disease, autosomal, T cell-negative, B cell-negative, NK cell-positive",Immune system phene,yes,yes,RAG2,recombination activating gene 2,https://www.omia.org/OMIA001574/9823/,https://www.omia.org/gene389003813/,
-,-,-,"Spermatogenic arrest, DAZL-related",Reproductive system phene,yes,yes,DAZL,deleted in azoospermia-like,https://www.omia.org/OMIA002489/9823/,https://www.omia.org/gene389314588/,
4,123202720,123333044,Stargardt disease 1,Vision / eye phene,unknown,yes,ABCA4,ATP binding cassette subfamily A member 4,https://www.omia.org/OMIA002179/9823/,https://www.omia.org/gene398298836/,
6,52219834,52218889,"Sterile, male, NANOS2-related",Reproductive system phene,yes,yes,NANOS2,nanos homolog 2 (Drosophila),https://www.omia.org/OMIA002311/9823/,https://www.omia.org/gene389255174/,
2,65552341,65548897,"Sterile, NANOS3-related",Reproductive system phene,yes,yes,NANOS3,nanos homolog 3 (Drosophila),https://www.omia.org/OMIA002674/9823/,https://www.omia.org/gene389255123/,
1,272685948,272636530,"Tuberous sclerosis, TSC1-related",Neoplasm,yes,yes,TSC1,tuberous sclerosis 1,https://www.omia.org/OMIA002427/9823/,https://www.omia.org/gene389005717/,VBO_0012741
7,49047833,49087790,"Tyrosinaemia, type I",Homeostasis / metabolism phene,yes,yes,FAH,fumarylacetoacetate hydrolase (fumarylacetoacetase),https://www.omia.org/OMIA002078/9823/,https://www.omia.org/gene389356200/,
Y,40485700,40484990,"XY sex reversal, SRY-related",Reproductive system phene,yes,yes,SRY,sex determining region Y,https://www.omia.org/OMIA001230/9823/,https://www.omia.org/gene388202641/,
1,261587968,261511304,Blood group system ABO,Haematopoietic system phene,yes,no,GGTA1,"glycoprotein, alpha-galactosyltransferase 1",https://www.omia.org/OMIA001089/9823/,https://www.omia.org/gene3425623/,
X,29650728,27028223,"Muscular dystrophy, Duchenne type",Muscle phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001081/9823/,https://www.omia.org/gene170243229/,VBO_0013234
9,3135580,3143408,"Neuronal ceroid lipofuscinosis, 2",Lysosomal storage disease,yes,yes,TPP1,tripeptidyl peptidase I,https://www.omia.org/OMIA001472/9823/,https://www.omia.org/gene389356412/,VBO_0013234
3,39849579,39899455,Polycystic kidney disease,Renal / urinary system phene,yes,yes,PKD1,polycystic kidney disease 1 (autosomal dominant),https://www.omia.org/OMIA000807/9823/,https://www.omia.org/gene389257556/,
X,57151242,57143568,"Severe combined immunodeficiency disease, X-linked",Immune system phene,yes,yes,IL2RG,"interleukin 2 receptor, gamma",https://www.omia.org/OMIA000899/9823/,https://www.omia.org/gene388195416/,
,,,"Cardiomyopathy, hypertrophic",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000515/9823/,,
9,22517047,22604290,"Coat/skin colour, oculocutaneous albinism type I (OCA1), TYR-related",Pigmentation phene,yes,no,TYR,tyrosinase,https://www.omia.org/OMIA000202/9823/,https://www.omia.org/gene388202646/,
2,56977412,56892241,"Cryopyrin-associated periodic syndrome, NLRP3-related",Immune system phene,yes,yes,NLRP3,"NLR family, pyrin domain containing 3",https://www.omia.org/OMIA002464/9823/,https://www.omia.org/gene389256458/,VBO_0001163
2,1498052,1496842,Diabetes mellitus,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,INS,insulin,https://www.omia.org/OMIA000279/9823/,https://www.omia.org/gene388195661/,
5,19151096,19159008,Ectodermal dysplasia-9,Integument (skin) phene,yes,yes,HOXC13,homeobox C13,https://www.omia.org/OMIA002157/9823/,https://www.omia.org/gene389259280/,
,,,Foetal death,Mortality / aging (incl. embryonic lethal),unknown,yes,,,https://www.omia.org/OMIA001981/9823/,,
,,,Haemophilia B,Haematopoietic system phene,yes,yes,,,https://www.omia.org/OMIA000438/9823/,,
1,160772013,160774124,Hyperphagia leading to hepatic steatosis,Adipose tissue phene,no,yes,MC4R,melanocortin 4 receptor,https://www.omia.org/OMIA002217/9823/,https://www.omia.org/gene388195606/,
15,117451009,117244704,"Ichthyosis, ABCA12-related",Integument (skin) phene,yes,yes,ABCA12,,https://www.omia.org/OMIA002238/9823/,https://www.omia.org/gene398298724/,VBO_0012741
1,123102011,123359649,Marfan syndrome,Skeleton phene (incl. short stature & teeth),yes,yes,FBN1,fibrillin 1,https://www.omia.org/OMIA000628/9823/,https://www.omia.org/gene388207635/,
9,70678442,70683895,"Muscle growth, ZBED6-related",Muscle phene,yes,no,ZBED6,"zinc finger, BED-type containing 6",https://www.omia.org/OMIA002468/9823/,https://www.omia.org/gene389262603/,VBO_0012741
,,,"Spinal muscular atrophy, SMN1-related",Nervous system phene,yes,yes,,,https://www.omia.org/OMIA002784/9823/,,
5,9890439,9901746,"Waardenburg syndrome, SOX10-related",Pigmentation phene,yes,yes,SOX10,SRY (sex determining region Y)-box 10,https://www.omia.org/OMIA002453/9823/,https://www.omia.org/gene388207695/,
,,,"Coat colour, white belt",Pigmentation phene,unknown,unknown,,,https://www.omia.org/OMIA001469/9823/,,
,,,Epitheliogenesis imperfecta,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000348/9823/,,VBO_0001127
,,,"Mitochondrial DNA, variation in copy number",Cellular phene,unknown,unknown,,,https://www.omia.org/OMIA002794/9823/,,
,,,"Neonatal diarrhoea, Escherichia coli K88/F4, resistance/susceptibility to",Immune system phene,yes,yes,,,https://www.omia.org/OMIA001088/9823/,,
6,54080475,54077431,"Oedema disease, Escherichia coli F18, resistance/susceptibility to",Immune system phene,yes,yes,FUT1,"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)",https://www.omia.org/OMIA000862/9823/,https://www.omia.org/gene40199739/,
,,,"Salmonella enterica serovar Choleraesuis (SC), resistance/susceptibility to",Immune system phene,yes,yes,,,https://www.omia.org/OMIA001726/9823/,,
,,,"Sperm, short tail",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA001334/9823/,,
,,,Aggression,Behaviour / neurological phene,unknown,no,,,https://www.omia.org/OMIA001499/9823/,,
,,,"Sex chromosome difference of sexual development, generic",Reproductive system phene,no,yes,,,https://www.omia.org/OMIA002776/9823/,,
,,,"XX sex reversal, SRY-related",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002047/9823/,,
,,,Cor triatriatum sinister,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA002689/9823/,,
,,,Adactyly,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000012/9823/,,
,,,Amelia,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000587/9823/,,
,,,Brachygnathia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000147/9823/,,
,,,Thrombocytopenia,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001001/9823/,,
,,,Telomere length,Normal phene,unknown,unknown,,,https://www.omia.org/OMIA001761/9823/,,
,,,Mummified foetus,Mortality / aging (incl. embryonic lethal),unknown,yes,,,https://www.omia.org/OMIA000673/9823/,,
10,52571977,52496457,"Semen quality, SPAG6-related",Reproductive system phene,yes,unknown,SPAG6,sperm associated antigen 6,https://www.omia.org/OMIA002703/9823/,https://www.omia.org/gene389077701/,"VBO_0001127, VBO_0001161, VBO_0001163"
,,,Heat tolerance,Homeostasis / metabolism phene,unknown,no,,,https://www.omia.org/OMIA001667/9823/,,
,,,Resistance/susceptibility to mycoplasma pneumonia,Immune system phene,no,yes,,,https://www.omia.org/OMIA002661/9823/,,
,,,"Chromosomal abnormality, generic",Chromosomal disorder,unknown,yes,,,https://www.omia.org/OMIA002657/9823/,,
,,,Behaviour,Behaviour / neurological phene,unknown,no,,,https://www.omia.org/OMIA002328/9823/,,
,,,Inflammation and necrosis syndrome,Integument (skin) phene,no,yes,,,https://www.omia.org/OMIA002643/9823/,,
