CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
14,533918,538406,Acrodermatitis enteropathica,Integument (skin) phene,yes,yes,SLC39A4,"solute carrier family 39 (zinc transporter), member 4",https://www.omia.org/OMIA000593/9913/,https://www.omia.org/gene38905972/,"VBO_0000104, VBO_0000239, VBO_0000375, VBO_0000380"
,,,Ovarian hyperplasia,Reproductive system phene,unknown,no,,,https://www.omia.org/OMIA002893/9913/,,
3,43294364,43242629,Complex vertebral malformation,Skeleton phene (incl. short stature & teeth),yes,yes,SLC35A3,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3",https://www.omia.org/OMIA001340/9913/,https://www.omia.org/gene38909425/,"VBO_0000239, VBO_0000306"
25,25946606,25929252,Congenital muscular dystonia 1,Muscle phene,yes,yes,ATP2A1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",https://www.omia.org/OMIA001450/9913/,https://www.omia.org/gene38908820/,VBO_0000139
5,62782018,62871543,"Haplotype with homozygous deficiency HH1, APAF1-related",Mortality / aging (incl. embryonic lethal),yes,yes,APAF1,apoptotic peptidase activating factor 1,https://www.omia.org/OMIA000001/9913/,https://www.omia.org/gene170257536/,"VBO_0004602, VBO_0000239"
3,116872733,116781707,"Lethality, COL6A3-related",Mortality / aging (incl. embryonic lethal),yes,yes,COL6A3,collagen type VI alpha 3,https://www.omia.org/OMIA002260/9913/,https://www.omia.org/gene388273216/,VBO_0000239
25,25946606,25929252,"Pseudomyotonia, congenital",Muscle phene,yes,yes,ATP2A1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",https://www.omia.org/OMIA001464/9913/,https://www.omia.org/gene38908820/,"VBO_0000178, VBO_0000285, VBO_0000291, VBO_0000360"
19,55413706,55443893,"Spermatogenic failure, QRICH2",Reproductive system phene,yes,yes,QRICH2,glutamine rich 2,https://www.omia.org/OMIA002848/9913/,https://www.omia.org/gene398298891/,VBO_0000166
24,20947194,20886491,"Xanthinuria, type II",Renal / urinary system phene,yes,yes,MOCOS,molybdenum cofactor sulfurase,https://www.omia.org/OMIA001819/9913/,https://www.omia.org/gene388161121/,"VBO_0000166, VBO_0004987, VBO_0000408"
5,32283180,32313172,"Achondrogenesis, type II",Skeleton phene (incl. short stature & teeth),yes,yes,COL2A1,collagen type II alpha 1,https://www.omia.org/OMIA001926/9913/,https://www.omia.org/gene388202094/,"VBO_0000177, VBO_0000239"
5,108808033,108823741,"Immunodeficiency, IL17RA-related",Immune system phene,yes,yes,IL17RA,interleukin 17 receptor A,https://www.omia.org/OMIA002271/9913/,https://www.omia.org/gene388272037/,VBO_0000239
,,,"Gangliosidosis, GM2, type I (B variant)",Lysosomal storage disease,unknown,unknown,,,https://www.omia.org/OMIA001461/9913/,,
,,,Cattle allergen,Normal phene,unknown,no,,,https://www.omia.org/OMIA002880/9913/,,
,,,Corkscrew penis,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA001118/9913/,,
11,77885995,77927965,"Cholesterol deficiency, APOB-related",Digestive / alimentary phene,yes,yes,APOB,apolipoprotein B,https://www.omia.org/OMIA001965/9913/,https://www.omia.org/gene388257527/,VBO_0000237
6,72361031,72350734,"Haplotype with homozygous deficiency, NOA1-related",Mortality / aging (incl. embryonic lethal),yes,yes,NOA1A,nitric oxide associated 1 A,https://www.omia.org/OMIA002874/9913/,https://www.omia.org/gene398298923/,VBO_0000306
17,57194572,57183195,"Haplotype with homozygous deficiency, RFC5-related",Mortality / aging (incl. embryonic lethal),yes,yes,RFC5,replication factor C subunit 5,https://www.omia.org/OMIA002873/9913/,https://www.omia.org/gene398298922/,VBO_0000322
1,144788699,144759519,"Leukocyte adhesion deficiency, type I",Immune system phene,yes,yes,ITGB2,integrin subunit beta 2,https://www.omia.org/OMIA000595/9913/,https://www.omia.org/gene281877/,VBO_0000237
5,26796917,26811773,Lymphocyte intestinal retention defect,Mortality / aging (incl. embryonic lethal),yes,yes,ITGB7,integrin subunit beta 7,https://www.omia.org/OMIA002872/9913/,https://www.omia.org/gene398298921/,VBO_0000239
,,,Arnold-Chiari malformation,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000061/9913/,,"VBO_0000104, VBO_0000158, VBO_0000166, VBO_0000177, VBO_0000232, VBO_0000239, VBO_0004987, VBO_0000375, VBO_0000380"
X,80803385,80405885,"Hypohidrotic ectodermal dysplasia, X-linked, EDA-related",Integument (skin) phene,yes,yes,EDA,ectodysplasin A,https://www.omia.org/OMIA000543/9913/,https://www.omia.org/gene11641138/,"VBO_0000190, VBO_0003152, VBO_0002354, VBO_0000237, VBO_0000239, VBO_0004987, VBO_0000274, VBO_0003169"
,,,"Psoroptic mange, susceptibility to",Integument (skin) phene,no,yes,,,https://www.omia.org/OMIA002861/9913/,,VBO_0000139
,,,Gestation length,Reproductive system phene,no,no,,,https://www.omia.org/OMIA000408/9913/,,
,,,"Johne's disease, resistance/susceptibility to",Immune system phene,no,yes,,,https://www.omia.org/OMIA001905/9913/,,
,,,"Gangliosidosis, GM1",Lysosomal storage disease,yes,yes,,,https://www.omia.org/OMIA000402/9913/,,VBO_0000239
18,53022682,53005623,Cardiomyopathy and woolly haircoat syndrome,Cardiovascular system phene,yes,yes,PPP1R13L,protein phosphatase 1 regulatory subunit 13 like,https://www.omia.org/OMIA000161/9913/,https://www.omia.org/gene38903620/,VBO_0000341
6,116781167,116766308,"Chondrodysplasia, FGFR3-related",Skeleton phene (incl. short stature & teeth),yes,yes,FGFR3,fibroblast growth factor receptor 3,https://www.omia.org/OMIA001703/9913/,https://www.omia.org/gene281769/,VBO_0000239
8,31648318,31632079,"Coat colour, brown, TYRP1-related",Pigmentation phene,yes,no,TYRP1,tyrosinase-related protein 1,https://www.omia.org/OMIA001249/9913/,https://www.omia.org/gene282105/,VBO_0000193
3,9350619,9394691,"Coat colour, dominant red",Pigmentation phene,yes,no,COPA,coatomer protein complex subunit alpha,https://www.omia.org/OMIA001529/9913/,https://www.omia.org/gene388990892/,VBO_0000239
18,14705093,14706843,"Coat colour, extension",Pigmentation phene,yes,no,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),https://www.omia.org/OMIA001199/9913/,https://www.omia.org/gene281298/,"VBO_0000091, VBO_0000104, VBO_0000166, VBO_0004498, VBO_0005141, VBO_0000239, VBO_0000242, VBO_0004749, VBO_0000274, VBO_0000322, VBO_0003764, VBO_0004642, VBO_0000380, VBO_0003281"
5,18311647,18251955,"Coat colour, roan",Pigmentation phene,yes,no,KITLG,KIT ligand,https://www.omia.org/OMIA001216/9913/,https://www.omia.org/gene281885/,"VBO_0000139, VBO_0000375"
29,6435488,6326410,"Coat/skin colour, oculocutaneous albinism type I (OCA1), TYR-related",Pigmentation phene,yes,yes,TYR,tyrosinase,https://www.omia.org/OMIA000202/9913/,https://www.omia.org/gene280951/,VBO_0000166
6,96003716,95867278,"Dwarfism, PRKG2-related",Skeleton phene (incl. short stature & teeth),yes,yes,PRKG2,protein kinase cGMP-dependent 2,https://www.omia.org/OMIA001485/9913/,https://www.omia.org/gene38912184/,VBO_0000104
5,27367078,27372929,"Epidermolysis bullosa simplex, KRT5-related",Integument (skin) phene,yes,yes,KRT5,"keratin 5, type II",https://www.omia.org/OMIA002081/9913/,https://www.omia.org/gene281268/,"VBO_0000139, VBO_0016846"
23,35341308,35332693,Hairy,Integument (skin) phene,yes,no,PRL,prolactin,https://www.omia.org/OMIA000441/9913/,https://www.omia.org/gene388160897/,"VBO_0000239, VBO_0000250, VBO_0000380"
26,4509054,5569297,"Haplotype with homozygous deficiency HH35, PCDH15-related",Mortality / aging (incl. embryonic lethal),yes,yes,PCDH15,protocadherin-related 15,https://www.omia.org/OMIA002548/9913/,https://www.omia.org/gene388997913/,VBO_0000239
,,,Hydrocephalus,Nervous system phene,yes,yes,,,https://www.omia.org/OMIA000487/9913/,,"VBO_0000104, VBO_0000250, VBO_0000375"
11,103255756,103260862,"Lactoglobulin, beta, aberrant low expression",Homeostasis / metabolism phene,yes,yes,PAEP,progestagen-associated endometrial protein,https://www.omia.org/OMIA001437/9913/,https://www.omia.org/gene280838/,VBO_0000166
9,40559614,40676462,"Male subfertility, AK9-related",Reproductive system phene,yes,yes,AK9,adenylate kinase 9,https://www.omia.org/OMIA002788/9913/,https://www.omia.org/gene388264883/,VBO_0000239
18,50541524,50560679,"Maple syrup urine disease, BCKDHA-related",Homeostasis / metabolism phene,yes,yes,BCKDHA,"branched chain keto acid dehydrogenase E1, alpha polypeptide",https://www.omia.org/OMIA000627/9913/,https://www.omia.org/gene282149/,"VBO_0000341, VBO_0000375"
16,38649621,38676503,Trimethylaminuria (fishy taint),Homeostasis / metabolism phene,yes,yes,FMO3,flavin containing monooxygenase 3,https://www.omia.org/OMIA001360/9913/,https://www.omia.org/gene281167/,VBO_0000392
15,22513068,22580768,Yellow fat,Adipose tissue phene,yes,no,BCO2,beta-carotene oxygenase 2,https://www.omia.org/OMIA001079/9913/,https://www.omia.org/gene4795107/,VBO_0000239
1,94320195,94597863,Male subfertility,Reproductive system phene,unknown,yes,SPATA16,spermatogenesis associated 16,https://www.omia.org/OMIA002354/9913/,https://www.omia.org/gene398298906/,"VBO_0000166, VBO_0000237, VBO_0004987"
6,58350006,58428624,Male subfertility,Reproductive system phene,unknown,yes,WDR19,WD repeat domain 19,https://www.omia.org/OMIA002354/9913/,https://www.omia.org/gene398298907/,"VBO_0000166, VBO_0000237, VBO_0004987"
25,19780621,19838887,Male subfertility,Reproductive system phene,unknown,yes,VWA3A,von Willebrand factor A domain containing 3A,https://www.omia.org/OMIA002354/9913/,https://www.omia.org/gene398298908/,"VBO_0000166, VBO_0000237, VBO_0004987"
,,,"Cataract, generic",Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA000168/9913/,,"VBO_0000237, VBO_0000250"
,,,"Lipomatosis, multiple",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA000606/9913/,,"VBO_0000104, VBO_0000139, VBO_0000177, VBO_0000239, VBO_0000353"
19,36457711,36474476,"Osteogenesis imperfecta, type II, COL1A1-related",Skeleton phene (incl. short stature & teeth),yes,yes,COL1A1,collagen type I alpha 1,https://www.omia.org/OMIA002127/9913/,https://www.omia.org/gene388161803/,"VBO_0000237, VBO_0000322, VBO_0000350, VBO_0000380"
,,,Tail abnormalities,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000970/9913/,,VBO_0000239
16,29020714,29005211,Haplotype with homozygous deficiency HH6,Mortality / aging (incl. embryonic lethal),yes,yes,SDE2,SDE2 telomere maintenance homolog (S. pombe),https://www.omia.org/OMIA002149/9913/,https://www.omia.org/gene388274370/,VBO_0000237
7,12144006,12397316,"Convulsions and ataxia, familial",Nervous system phene,no,yes,CACNA1A,calcium voltage-gated channel subunit alpha1 A,https://www.omia.org/OMIA001270/9913/,https://www.omia.org/gene398298896/,VBO_0000104
,,,Lacrimal fistula (redundant),Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA001693/9913/,,
,,,Nasolacrimal duct obstruction,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA002852/9913/,,"VBO_0000166, VBO_0000239"
29,42997404,42985604,Glycogen storage disease V,Homeostasis / metabolism phene,yes,yes,PYGM,"phosphorylase, glycogen, muscle",https://www.omia.org/OMIA001139/9913/,https://www.omia.org/gene327664/,"VBO_0000177, VBO_0000350"
11,28735330,28825665,Pulmonary hypertension,Cardiovascular system phene,no,yes,EPAS1,endothelial PAS domain protein 1,https://www.omia.org/OMIA000841/9913/,https://www.omia.org/gene388162168/,
9,91932590,91865226,"Haplotype with homozygous deficiency HH5, TFB1M-related",Mortality / aging (incl. embryonic lethal),yes,yes,TFB1M,"transcription factor B1, mitochondrial",https://www.omia.org/OMIA001941/9913/,https://www.omia.org/gene388273918/,VBO_0000237
13,47039937,47060168,"Spongiform encephalopathy, susceptibility/resistance to",Nervous system phene,unknown,yes,PRNP,prion protein,https://www.omia.org/OMIA000944/9913/,https://www.omia.org/gene281427/,
2,6278864,6285491,Muscular hypertrophy (double muscling),Muscle phene,yes,yes,MSTN,myostatin,https://www.omia.org/OMIA000683/9913/,https://www.omia.org/gene281187/,"VBO_0000104, VBO_0000111, VBO_0000139, VBO_0000151, VBO_0000158, VBO_0000177, VBO_0000209, VBO_0000212, VBO_0000274, VBO_0000286, VBO_0000312, VBO_0000330, VBO_0000332, VBO_0000368, VBO_0000385"
1,144788699,144759519,Resistance/susceptibility to Mannheimia haemolytica leukotoxin,Immune system phene,yes,yes,ITGB2,integrin subunit beta 2,https://www.omia.org/OMIA002073/9913/,https://www.omia.org/gene281877/,
,,,"Babesiosis, resistance/susceptibility to",Immune system phene,no,yes,,,https://www.omia.org/OMIA002836/9913/,,
23,27982798,27987297,"Lethality, embryonic, POU5F1-related",Mortality / aging (incl. embryonic lethal),yes,yes,POU5F1,POU class 5 homeobox 1,https://www.omia.org/OMIA002832/9913/,https://www.omia.org/gene398298876/,
,,,"Lymphoma, B-cell, susceptibility to",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002586/9913/,,
,,,Lactoferrin variation,Endocrine / exocrine gland phene (incl mammary gland),unknown,no,,,https://www.omia.org/OMIA002613/9913/,,
25,26055273,26043064,"Neuronal ceroid lipofuscinosis, 3",Lysosomal storage disease,yes,yes,CLN3,"ceroid-lipofuscinosis, neuronal 3",https://www.omia.org/OMIA002432/9913/,https://www.omia.org/gene388265019/,VBO_0000232
19,42618482,42625470,Mucopolysaccharidosis IIIB,Lysosomal storage disease,yes,yes,NAGLU,"N-acetylglucosaminidase, alpha",https://www.omia.org/OMIA001342/9913/,https://www.omia.org/gene388390317/,VBO_0000368
,,,"Neospora caninum infection, susceptibility/resistance to",Immune system phene,no,yes,,,https://www.omia.org/OMIA002828/9913/,,
,,,Mast cell tumour,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001797/9913/,,
,,,"Trypanosomiasis, susceptibility/resistance to",Immune system phene,no,yes,,,https://www.omia.org/OMIA001789/9913/,,
,,,Bone fracture risk,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001858/9913/,,
19,26412273,26390125,"Hypomyelinogenesis, congenital",Nervous system phene,yes,yes,KIF1C,kinesin family member 1C,https://www.omia.org/OMIA000527/9913/,https://www.omia.org/gene388269639/,"VBO_0000090, VBO_0000177, VBO_0004643"
,,,"Dwarfism, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000299/9913/,,
,,,Imperforate anus (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000558/9913/,,
,,,Bleeding diathesis,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000112/9913/,,VBO_0000380
,,,Bleeding disorder,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000113/9913/,,
,,,Brachygnathia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000147/9913/,,
,,,"Chondrodysplasia, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000187/9913/,,VBO_0000104
,,,Hydrallantois,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA002053/9913/,,
,,,"Neuronal Ceroid Lipofuscinosis, generic",Lysosomal storage disease,yes,yes,,,https://www.omia.org/OMIA000181/9913/,,
,,,Schistosomus reflexus,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000890/9913/,,
,,,Uterine aplasia,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA002822/9913/,,VBO_0000239
16,79658538,79601791,"Muscle weakness, CACNA1S-related",Muscle phene,yes,yes,CACNA1S,calcium voltage-gated channel subunit alpha1 S,https://www.omia.org/OMIA002819/9913/,https://www.omia.org/gene398298865/,VBO_0000239
,,,"Theileriosis, susceptibility/resistance to",Immune system phene,unknown,yes,,,https://www.omia.org/OMIA002592/9913/,,"VBO_0005187, VBO_0005197"
5,57344558,57353370,"Coat colour, dilution, PMEL-related",Pigmentation phene,yes,no,PMEL,premelanosome protein,https://www.omia.org/OMIA001545/9913/,https://www.omia.org/gene281487/,"VBO_0000177, VBO_0000207, VBO_0000232, VBO_0000234, VBO_0004988, VBO_0000380"
,,,Wool/hair shedding,Integument (skin) phene,unknown,no,,,https://www.omia.org/OMIA001598/9913/,,
7,11818761,11807311,"Sterile, NANOS3-related",Reproductive system phene,yes,yes,NANOS3,nanos C2HC-type zinc finger 3,https://www.omia.org/OMIA002674/9913/,https://www.omia.org/gene398298856/,
16,75621087,75582021,"Bovine viral diarrhea virus, resistance/susceptibility to",Immune system phene,unknown,yes,CD46,CD46 molecule,https://www.omia.org/OMIA002699/9913/,https://www.omia.org/gene398298854/,
23,32672546,32755486,CMAH enzyme deficiency,Immune system phene,yes,no,CMAH,cytidine monophospho-N-acetylneuraminic acid hydroxylase,https://www.omia.org/OMIA002410/9913/,https://www.omia.org/gene398298843/,
,,,"Green fluorescent protein, transgenic",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002737/9913/,,
,,,Heat tolerance,Homeostasis / metabolism phene,no,no,,,https://www.omia.org/OMIA001667/9913/,,
11,103255756,103260862,"Lactoglobulin, beta",Endocrine / exocrine gland phene (incl mammary gland),yes,no,PAEP,progestagen-associated endometrial protein,https://www.omia.org/OMIA002670/9913/,https://www.omia.org/gene280838/,
,,,"Mastitis, susceptibility/resistance to",Immune system phene,no,no,,,https://www.omia.org/OMIA001744/9913/,,
18,53420452,53419905,"Sterile, male, NANOS2-related",Reproductive system phene,yes,yes,NANOS2,nanos homolog 2 (Drosophila),https://www.omia.org/OMIA002311/9913/,https://www.omia.org/gene389079972/,
,,,"Tuberculosis, susceptibility/resistance to",Immune system phene,no,yes,,,https://www.omia.org/OMIA001856/9913/,,
,,,Genetically engineered humanized animal,Immune system phene,unknown,no,,,https://www.omia.org/OMIA002665/9913/,,
-,-,-,Polled/Horns,Craniofacial phene,yes,no,POLLED,,https://www.omia.org/OMIA000483/9913/,https://www.omia.org/gene285709574/,"VBO_0000104, VBO_0004602, VBO_0000177, VBO_0000207, VBO_0000239, VBO_0000256, VBO_0000274, VBO_0000334, VBO_0000341, VBO_0000342, VBO_0000380"
,,,"Neoplasm, generic",Neoplasm,unknown,yes,,,https://www.omia.org/OMIA002587/9913/,,
,,,Amelia,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000587/9913/,,
,,,Amorphus globosus,Mortality / aging (incl. embryonic lethal),unknown,yes,,,https://www.omia.org/OMIA002800/9913/,,
,,,Anogenital distance,Reproductive system phene,unknown,unknown,,,https://www.omia.org/OMIA002803/9913/,,
,,,Brachycephaly,Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA001551/9913/,,
,,,Cloaca,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000412/9913/,,
,,,Cranioschisis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000237/9913/,,
,,,Dicephalus,Embryo phene,unknown,unknown,,,https://www.omia.org/OMIA000287/9913/,,
,,,Omphallorhagia,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA002802/9913/,,
,,,Polycystic kidney disease,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000807/9913/,,
,,,Shoulder and hip luxation,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA002801/9913/,,
,,,"Ketosis, susceptibility to",Homeostasis / metabolism phene,no,yes,,,https://www.omia.org/OMIA001125/9913/,,
29,24373268,24316604,Congenital muscular dystonia 2,Nervous system phene,yes,yes,SLC6A5,solute carrier family 6 member 5,https://www.omia.org/OMIA001451/9913/,https://www.omia.org/gene38910929/,VBO_0000139
,,,"Brucellosis, susceptibility/resistance to",Immune system phene,no,yes,,,https://www.omia.org/OMIA002414/9913/,,
6,103497473,103662789,"Chondrodysplasia, EVC2-related",Skeleton phene (incl. short stature & teeth),yes,yes,EVC2,Ellis van Creveld syndrome 2,https://www.omia.org/OMIA002540/9913/,https://www.omia.org/gene38797203/,"VBO_0004988, VBO_0000408"
23,48770276,48913850,"Factor XIII deficiency, F13A1-related",Haematopoietic system phene,yes,yes,F13A1,coagulation factor XIII A chain,https://www.omia.org/OMIA001818/9913/,https://www.omia.org/gene388309584/,"VBO_0004987, VBO_0004988"
X,36013567,36155734,Haemophilia A,Haematopoietic system phene,yes,yes,F8,coagulation factor VIII,https://www.omia.org/OMIA000437/9913/,https://www.omia.org/gene39707161/,"VBO_0002354, VBO_0004988"
,,,Behaviour,Behaviour / neurological phene,no,no,,,https://www.omia.org/OMIA002328/9913/,,
,,,"Dwarfism, growth-hormone deficiency",Skeleton phene (incl. short stature & teeth),unknown,unknown,,,https://www.omia.org/OMIA001473/9913/,,
,,,Haplotype with homozygous deficiency NH8,Mortality / aging (incl. embryonic lethal),unknown,yes,,,https://www.omia.org/OMIA002202/9913/,,VBO_0000322
4,49062382,48985684,"Hemifacial microsomia, LAMB1-related",Skeleton phene (incl. short stature & teeth),yes,yes,LAMB1,laminin subunit beta 1,https://www.omia.org/OMIA002479/9913/,https://www.omia.org/gene388271016/,VBO_0000360
,,,Sex determination,Reproductive system phene,unknown,no,,,https://www.omia.org/OMIA001728/9913/,,
24,61638772,61596090,"Spinal muscular atrophy, KDSR-related",Muscle phene,yes,yes,KDSR,3-ketodihydrosphingosine reductase,https://www.omia.org/OMIA002390/9913/,https://www.omia.org/gene38903500/,"VBO_0000166, VBO_0000353"
,,,Spongiform myelopathy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001156/9913/,,VBO_0000380
,,,Thrombopathia,Haematopoietic system phene,unknown,unknown,,,https://www.omia.org/OMIA001003/9913/,,
,,,"Xanthinuria, generic",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001283/9913/,,
,,,"Enzootic bovine leukosis, resistance/susceptibility to",Immune system phene,unknown,yes,,,https://www.omia.org/OMIA002678/9913/,,
,,,Ocular squamous cell carcinoma,Neoplasm,no,yes,,,https://www.omia.org/OMIA000735/9913/,,
-,-,-,"Abortion and stillbirth, MIMT1-related",Mortality / aging (incl. embryonic lethal),yes,yes,MIMT1,MER1 repeat containing imprinted transcript 1 (non-protein coding),https://www.omia.org/OMIA001565/9913/,https://www.omia.org/gene4586714/,VBO_0000120
,,,Arthrogryposis and palatoschisis syndrome,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000070/9913/,,VBO_0000177
,,,Atresia ani,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000083/9913/,,"VBO_0000104, VBO_0000239, VBO_0000250, VBO_0000380"
16,41711316,41683878,Axonopathy,Nervous system phene,yes,yes,MFN2,mitofusin 2,https://www.omia.org/OMIA001106/9913/,https://www.omia.org/gene38912625/,"VBO_0004602, VBO_0000408"
