CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
23,2256836,2237984,"Resistance/susceptibility to avian sarcoma and leukosis viruses, subgroup J",Immune system phene,yes,yes,SLC9A1,"solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1",https://www.omia.org/OMIA001956/9031/,https://www.omia.org/gene388211570/,
,,,Genetically engineered humanized animal,Immune system phene,unknown,unknown,,,https://www.omia.org/OMIA002665/9031/,,
-,-,-,Rumpless,Skeleton phene (incl. short stature & teeth),yes,yes,Rum,,https://www.omia.org/OMIA001633/9031/,https://www.omia.org/gene398298834/,"VBO_0000445, VBO_0006739, VBO_0000613"
,,,"Tail feathers, absent",Integument (skin) phene,yes,no,,,https://www.omia.org/OMIA002845/9031/,,
27,3402859,3404508,Muffs and beard,Integument (skin) phene,yes,yes,HOXB8,homeobox B8,https://www.omia.org/OMIA000668/9031/,https://www.omia.org/gene388194111/,"VBO_0000527, VBO_0006695, VBO_0000587"
,,,Hyperuricaemia,Homeostasis / metabolism phene,no,yes,,,https://www.omia.org/OMIA002830/9031/,,
,,,Excessive appetite for water (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000351/9031/,,
,,,"Feather colour, silver",Pigmentation phene,unknown,unknown,,,https://www.omia.org/OMIA000915/9031/,,
Z,10901748,10882873,"Feather colour, SLC45A2-related",Pigmentation phene,yes,no,SLC45A2,"solute carrier family 45, member 2",https://www.omia.org/OMIA000370/9031/,https://www.omia.org/gene43047536/,"VBO_0000592, VBO_0000646"
,,,Cleft palate,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000197/9031/,,
,,,"Loco, congenital",Behaviour / neurological phene,yes,yes,,,https://www.omia.org/OMIA000608/9031/,,"VBO_0000599, VBO_0000619"
,,,Vitiligo,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001055/9031/,,
,,,Adiponectin enriched eggs,Homeostasis / metabolism phene,unknown,no,,,https://www.omia.org/OMIA002622/9031/,,
,,,"Biopharming, IgG1-related",Immune system phene,unknown,no,,,https://www.omia.org/OMIA002712/9031/,,
,,,Egg allergen,Normal phene,yes,no,,,https://www.omia.org/OMIA002650/9031/,,
,,,"Green fluorescent protein, transgenic",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002737/9031/,,
10,19284020,19264398,Resistance/susceptibility to avian influenza virus,Immune system phene,no,yes,ANP32A,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",https://www.omia.org/OMIA002660/9031/,https://www.omia.org/gene388208229/,
28,2152928,2161666,Resistance/susceptibility to avian influenza virus,Immune system phene,no,yes,ANP32B,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",https://www.omia.org/OMIA002660/9031/,https://www.omia.org/gene388211989/,
25,246003,224227,Resistance/susceptibility to avian influenza virus,Immune system phene,no,yes,ANP32E,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",https://www.omia.org/OMIA002660/9031/,https://www.omia.org/gene388216476/,
21,2267329,2325025,"Robinow syndrome, DVL1-related",Limbs / fins / digit / tail phene,unknown,unknown,DVL1,dishevelled segment polarity protein 1,https://www.omia.org/OMIA002654/9031/,https://www.omia.org/gene398298853/,
,,,Sex determination,Reproductive system phene,yes,no,,,https://www.omia.org/OMIA001728/9031/,,
-,-,-,"Sterile, female, DDX4-related",Reproductive system phene,yes,yes,DDX4,DEAD (Asp-Glu-Ala-Asp) box polypeptide 4,https://www.omia.org/OMIA002312/9031/,https://www.omia.org/gene388193845/,
,,,T cell deficiency,Immune system phene,yes,yes,,,https://www.omia.org/OMIA002773/9031/,,
7,305390,312076,Muscular hypertrophy (double muscling),Muscle phene,unknown,no,MSTN,myostatin,https://www.omia.org/OMIA000683/9031/,https://www.omia.org/gene388186764/,
1,53694755,53681908,"Dwarfism, autosomal",Skeleton phene (incl. short stature & teeth),yes,yes,TMEM263,transmembrane protein 263,https://www.omia.org/OMIA000303/9031/,https://www.omia.org/gene388210284/,
,,,"Feather colour, blue",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001701/9031/,,"VBO_0000442, VBO_0000599, VBO_0000646"
34,1343416,1339431,"Feather colour, dominant white",Pigmentation phene,yes,no,PMEL,premelanosome protein,https://www.omia.org/OMIA000373/9031/,https://www.omia.org/gene43021861/,VBO_0000646
1,187810203,187752871,"Feather colour, albinism",Pigmentation phene,yes,yes,TYR,tyrosinase,https://www.omia.org/OMIA000369/9031/,https://www.omia.org/gene373971/,"VBO_0000522, VBO_0000547, VBO_0000558, VBO_0000572, VBO_0000588, VBO_0000592, VBO_0000619, VBO_0000648"
,,,"Feather colour, recessive white",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001252/9031/,,
,,,"Fragile X syndrome, FMR1-related",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002455/9031/,,
,,,Resistance to rous sarcoma virus,Neoplasm,yes,yes,,,https://www.omia.org/OMIA000863/9031/,,
28,1221873,1216360,"Resistance//susceptibility to avian sarcoma and leukosis viruses, subgroup C",Immune system phene,yes,yes,BTN1A1,"butyrophilin, subfamily 1, member A1",https://www.omia.org/OMIA001622/9031/,https://www.omia.org/gene43039643/,
28,1302511,1307560,"Resistance/susceptibility to avian sarcoma and leukosis viruses, subgroup A",Immune system phene,yes,yes,CD320,CD320 molecule,https://www.omia.org/OMIA001299/9031/,https://www.omia.org/gene43039647/,
22,1325172,1331767,"Resistance/susceptibility to avian sarcoma and leukosis viruses, subgroup B",Immune system phene,yes,yes,TNFRSF10B,"tumor necrosis factor receptor superfamily, member 10b",https://www.omia.org/OMIA001302/9031/,https://www.omia.org/gene193353881/,
1,109001609,109022488,Resistance/susceptibility to myxovirus,Immune system phene,yes,yes,MX1,"myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)",https://www.omia.org/OMIA001534/9031/,https://www.omia.org/gene43021198/,
,,,"Salmonellosis, resistance/susceptibility to",Immune system phene,yes,yes,,,https://www.omia.org/OMIA001627/9031/,,
3,139639076,139654420,"Spongiform encephalopathy, susceptibility/resistance to",Nervous system phene,unknown,yes,Prnp,prion protein,https://www.omia.org/OMIA000944/9031/,https://www.omia.org/gene24686/,
,,,"Difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000564/9031/,,
,,,Fatty metamorphosis of viscera,Adipose tissue phene,unknown,yes,,,https://www.omia.org/OMIA001090/9031/,,
,,,Hyperpigmentation/Black bone,Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA001571/9031/,,
,,,"Gonadal development, unilateral",Reproductive system phene,unknown,no,,,https://www.omia.org/OMIA002726/9031/,,
,,,Beak shape,Craniofacial phene,unknown,no,,,https://www.omia.org/OMIA001945/9031/,,
,,,Lameness,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000579/9031/,,
,,,"Sex reversal, generic (redundant)",,unknown,unknown,,,https://www.omia.org/OMIA000900/9031/,,
26,2722621,2759934,Blood group system A,Haematopoietic system phene,yes,no,C4BPA,"complement component 4 binding protein, alpha",https://www.omia.org/OMIA000117/9031/,https://www.omia.org/gene388193783/,
26,2408483,2406654,Blood group system E,Haematopoietic system phene,yes,no,FCAMR,,https://www.omia.org/OMIA000123/9031/,https://www.omia.org/gene398298807/,
,,,Twisted leg,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA001024/9031/,,
6,15602906,15609526,"Feather colour, cream",Pigmentation phene,yes,no,COMTD1,catechol-O-methyltransferase domain containing 1,https://www.omia.org/OMIA002667/9031/,https://www.omia.org/gene388215009/,
Z,10901748,10882873,"Feather colour, sub-Columbian",Pigmentation phene,no,no,SLC45A2,"solute carrier family 45, member 2",https://www.omia.org/OMIA002668/9031/,https://www.omia.org/gene43047536/,
Z,83339835,83329906,"Feather colour, sub-Columbian",Pigmentation phene,no,no,CDKN2A,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",https://www.omia.org/OMIA002668/9031/,https://www.omia.org/gene388193492/,
,,,Spondylolisthesis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA002664/9031/,,
Z,11350251,11159196,"Feathering, Z-linked",Integument (skin) phene,yes,yes,PRLR,prolactin receptor,https://www.omia.org/OMIA000380/9031/,https://www.omia.org/gene3424605/,
24,6186951,6166113,"Skin/shank colour, yellow",Pigmentation phene,yes,no,BCO2,beta-carotene oxygenase 2,https://www.omia.org/OMIA001449/9031/,https://www.omia.org/gene43039413/,
,,,"Tail feathers, length",Integument (skin) phene,unknown,no,,,https://www.omia.org/OMIA002652/9031/,,
,,,Myopathy,Muscle phene,unknown,yes,,,https://www.omia.org/OMIA000693/9031/,,
,,,"Adaptation, environment, generic",Normal phene,no,no,,,https://www.omia.org/OMIA002637/9031/,,
,,,Stringy,Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001730/9031/,,
10,8760657,8858383,"Feather colour, generic",Pigmentation phene,unknown,no,MYO5A,"myosin VA (heavy chain 12, myoxin)",https://www.omia.org/OMIA000368/9031/,https://www.omia.org/gene396237/,
,,,Eggshell colour,Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA000326/9031/,,
11,18487539,18488982,"Feather colour, extended black",Pigmentation phene,yes,no,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),https://www.omia.org/OMIA000374/9031/,https://www.omia.org/gene427562/,
7,21924895,21933614,"Achondroplasia, creeper",Skeleton phene (incl. short stature & teeth),yes,yes,IHH,Indian hedgehog,https://www.omia.org/OMIA000006/9031/,https://www.omia.org/gene388194171/,
,,,Heat tolerance,Homeostasis / metabolism phene,unknown,no,,,https://www.omia.org/OMIA001667/9031/,,
,,,Edema (thigh patch),Homeostasis / metabolism phene,no,yes,,,https://www.omia.org/OMIA001741/9031/,,
,,,"Neck, arched",Behaviour / neurological phene,unknown,yes,,,https://www.omia.org/OMIA000705/9031/,,
,,,Paroxysm,Behaviour / neurological phene,yes,yes,,,https://www.omia.org/OMIA000772/9031/,,
,,,Kidney hypoplasia (redundant),,unknown,unknown,,,https://www.omia.org/OMIA000575/9031/,,
,,,Renal hypoplasia,Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA000854/9031/,,
,,,Photoperiod response (redundant),,unknown,unknown,,,https://www.omia.org/OMIA002076/9031/,,
,,,"Hernia, cerebral",Craniofacial phene,yes,yes,,,https://www.omia.org/OMIA001746/9031/,,VBO_0016845
,,,Eudiplopodia,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000350/9031/,,
8,20949055,20930694,Riboflavin-binding protein deficiency,Homeostasis / metabolism phene,yes,yes,RBP,riboflavin binding protein,https://www.omia.org/OMIA000876/9031/,https://www.omia.org/gene396449/,VBO_0005876
,,,Perosis,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000788/9031/,,
,,,Lateral asymmetry,Pigmentation phene,unknown,yes,,,https://www.omia.org/OMIA000581/9031/,,
,,,Diplopodia-5,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000289/9031/,,
,,,Tibial dyschondroplasia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001007/9031/,,
,,,Comb traits,Craniofacial phene,unknown,no,,,https://www.omia.org/OMIA001682/9031/,,
2,8097333,8087761,Polydactyly,Skeleton phene (incl. short stature & teeth),yes,yes,SHH,sonic hedgehog,https://www.omia.org/OMIA000810/9031/,https://www.omia.org/gene291822383/,"VBO_0006660, VBO_0000619"
11,2888827,2942778,"Cleft primary palate, ESRP2-related",Digestive / alimentary phene,yes,yes,ESRP2,epithelial splicing regulatory protein 2,https://www.omia.org/OMIA002543/9031/,https://www.omia.org/gene388208350/,
1,51095091,51104261,"Feather colour, dark brown",Pigmentation phene,yes,no,SOX10,SRY (sex determining region Y)-box 10,https://www.omia.org/OMIA001569/9031/,https://www.omia.org/gene395573/,
1,65588747,66230345,Pea comb,Craniofacial phene,yes,no,SOX5,SRY (sex determining region Y)-box 5,https://www.omia.org/OMIA000782/9031/,https://www.omia.org/gene418195/,
7,21939519,21945447,Rose comb,Craniofacial phene,yes,yes,MNR2,homeodomain protein,https://www.omia.org/OMIA000884/9031/,https://www.omia.org/gene284358254/,
,,,Ascites,Homeostasis / metabolism phene,no,yes,,,https://www.omia.org/OMIA001169/9031/,,
,,,Bitter taste perception,Taste / olfaction phene,unknown,no,,,https://www.omia.org/OMIA002456/9031/,,
,,,Behaviour,Behaviour / neurological phene,unknown,no,,,https://www.omia.org/OMIA002328/9031/,,
2,137081428,137056903,"Muscle growth, FBXO32-related",Growth / size / body region phene,yes,no,FBXO32,F-box protein 32,https://www.omia.org/OMIA002470/9031/,https://www.omia.org/gene388212199/,
5,40273166,40325248,Reproductive seasonality,Endocrine / exocrine gland phene (incl mammary gland),unknown,no,TSHR,thyroid stimulating hormone receptor,https://www.omia.org/OMIA002385/9031/,https://www.omia.org/gene388218196/,
1,92618897,92598058,"Feather colour, eumelanin extension",Pigmentation phene,yes,no,GJA5,"gap junction protein, alpha 5, 40kDa",https://www.omia.org/OMIA001152/9031/,https://www.omia.org/gene388194825/,
,,,"Skin colour, generic",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002255/9031/,,
,,,Patent ductus arteriosus,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000779/9031/,,
,,,Limbless,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000602/9031/,,
,,,Ametapodia-2,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA001636/9031/,,
,,,Blastoderm degeneration,Mortality / aging (incl. embryonic lethal),yes,yes,,,https://www.omia.org/OMIA000111/9031/,,
,,,Microphthalmia-4,Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA000650/9031/,,
,,,Persistent right oviduct,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA001333/9031/,,"VBO_0000528, VBO_0000599"
,,,"Retinal degeneration, Smoky Joe",Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA001869/9031/,,
,,,Ventricular septal defect,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001041/9031/,,
,,,Recombination rate,Normal phene,unknown,no,,,https://www.omia.org/OMIA001691/9031/,,
1,34330768,34439314,"Dwarfism, bantam",Skeleton phene (incl. short stature & teeth),no,no,HMGA2,high mobility group AT-hook 2,https://www.omia.org/OMIA002387/9031/,https://www.omia.org/gene388194219/,
21,1428022,1029448,"Dwarfism, bantam",Skeleton phene (incl. short stature & teeth),no,no,PRDM16,PR domain containing 16,https://www.omia.org/OMIA002387/9031/,https://www.omia.org/gene388211414/,
,,,"Limb movement, synchronic, EFNB3-related",Limbs / fins / digit / tail phene,unknown,no,,,https://www.omia.org/OMIA002353/9031/,,
-,-,-,Ribosomal RNA deficiency,Mortality / aging (incl. embryonic lethal),yes,yes,NOR,nucleolus organizer region,https://www.omia.org/OMIA001101/9031/,https://www.omia.org/gene389514319/,
5,54805660,54741289,Talpid-3,Mortality / aging (incl. embryonic lethal),yes,yes,KIAA0586,KIAA0586,https://www.omia.org/OMIA000979/9031/,https://www.omia.org/gene43042612/,
11,18487539,18488982,"Barring, autosomal",Pigmentation phene,yes,no,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor),https://www.omia.org/OMIA002108/9031/,https://www.omia.org/gene427562/,"VBO_0000466, VBO_0000528, VBO_0006959"
34,862788,858022,Crest,Integument (skin) phene,yes,no,HOXC10,,https://www.omia.org/OMIA000240/9031/,https://www.omia.org/gene398298757/,
,,,Blood group system L,Haematopoietic system phene,unknown,no,,,https://www.omia.org/OMIA000132/9031/,,
,,,Marbled chickdown,Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA001155/9031/,,
,,,"Skin, white",Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001067/9031/,,
,,,"Feather colour, yellow",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA001602/9031/,,
13,15208701,15223907,"Ptilopody (Feathered shank), PITX1-related",Limbs / fins / digit / tail phene,yes,no,PITX1,paired-like homeodomain 1,https://www.omia.org/OMIA002270/9031/,https://www.omia.org/gene388186969/,
15,12317331,12358320,"Ptilopody (Feathered shank), TBX5-related",Limbs / fins / digit / tail phene,yes,no,TBX5,T-box 5,https://www.omia.org/OMIA000839/9031/,https://www.omia.org/gene388186785/,
,,,Plumage pattern (Blue Andalusian),Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001154/9031/,,VBO_0000442
,,,Diplopodia-1,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA001546/9031/,,
,,,Wingless,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA001073/9031/,,
,,,"Wingless, Japanese",Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA001549/9031/,,
12,5204860,5135889,Wingless-2,Limbs / fins / digit / tail phene,yes,yes,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",https://www.omia.org/OMIA001547/9031/,https://www.omia.org/gene388194589/,
10,9257340,9235646,Henny feathering,Homeostasis / metabolism phene,yes,yes,CYP19A1,"cytochrome P450, family 19, subfamily A, polypeptide 1",https://www.omia.org/OMIA000452/9031/,https://www.omia.org/gene3438330/,
,,,"Hyperpigmentation, ASIP-related",Pigmentation phene,unknown,unknown,,,https://www.omia.org/OMIA002200/9031/,,VBO_0006731
,,,Sudden death,Mortality / aging (incl. embryonic lethal),unknown,yes,,,https://www.omia.org/OMIA000955/9031/,,
,,,"Beak, crossed",Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA002075/9031/,,VBO_0000443
8,4818686,4811564,Trimethylaminuria (fishy taint),Homeostasis / metabolism phene,yes,yes,FMO3,flavin-containing monooxygenase 3,https://www.omia.org/OMIA001360/9031/,https://www.omia.org/gene43021156/,
,,,"Hyperpigmentation, MITF-related",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002129/9031/,,VBO_0006731
20,11158648,11141887,Hyperpigmentation (Fibromelanosis),Pigmentation phene,yes,no,EDN3,endothelin 3,https://www.omia.org/OMIA001671/9031/,https://www.omia.org/gene105202467/,"VBO_0007792, VBO_0007907, VBO_0007320, VBO_0000619"
,,,"Tail feathers, number of",Integument (skin) phene,unknown,no,,,https://www.omia.org/OMIA001731/9031/,,
Z,83339835,83329906,"Barring, sex-linked",Pigmentation phene,yes,no,CDKN2A,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",https://www.omia.org/OMIA000102/9031/,https://www.omia.org/gene388193492/,
,,,Pulmonary hypertension,Cardiovascular system phene,unknown,no,,,https://www.omia.org/OMIA000841/9031/,,
1,169278486,169278404,Body weight,Growth / size / body region phene,no,no,MIR15A,microRNA 15a,https://www.omia.org/OMIA002077/9031/,https://www.omia.org/gene388383730/,
Z,13962241,14094496,"Dwarfism, sex-linked",Skeleton phene (incl. short stature & teeth),yes,yes,GHR,growth hormone receptor,https://www.omia.org/OMIA000309/9031/,https://www.omia.org/gene388203045/,
,,,Muscular dystrophy-dystroglycanopathy (limb-girdle),Muscle phene,unknown,yes,,,https://www.omia.org/OMIA001621/9031/,,
,,,"Enteritis, necrotic, susceptibility to",Immune system phene,unknown,yes,,,https://www.omia.org/OMIA002014/9031/,,VBO_0000646
,,,Diabetes insipidus,Endocrine / exocrine gland phene (incl mammary gland),yes,yes,,,https://www.omia.org/OMIA000278/9031/,,
2,38507358,38502625,Duplex comb,Craniofacial phene,yes,no,EOMES,eomesodermin,https://www.omia.org/OMIA000296/9031/,https://www.omia.org/gene388217892/,
3,67540818,67654817,Silky/Silkie feathering,Integument (skin) phene,yes,no,PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2",https://www.omia.org/OMIA000913/9031/,https://www.omia.org/gene388213395/,
,,,Methylation of cytosine,Cellular phene,unknown,no,,,https://www.omia.org/OMIA001915/9031/,,
4,11117090,11128197,"Feather colour, mottling",Pigmentation phene,yes,no,EDNRB2,endothelin receptor B subtype 2,https://www.omia.org/OMIA001904/9031/,https://www.omia.org/gene388186712/,VBO_0007408
-,-,-,Retinal degeneration I,Vision / eye phene,yes,yes,GC1,photoreceptor guanylate cyclase 1,https://www.omia.org/OMIA001245/9031/,https://www.omia.org/gene395866/,
,,,Polymelia,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA001226/9031/,,
,,,"Shanks, green",Pigmentation phene,yes,yes,,,https://www.omia.org/OMIA000907/9031/,,
,,,Brachydactyly,Limbs / fins / digit / tail phene,yes,yes,,,https://www.omia.org/OMIA000146/9031/,,
,,,Prenatal,Mortality / aging (incl. embryonic lethal),yes,yes,,,https://www.omia.org/OMIA000820/9031/,,
4,62783435,62787840,"Scaleless, FGF20-related",Integument (skin) phene,yes,yes,FGF20,fibroblast growth factor 20,https://www.omia.org/OMIA000889/9031/,https://www.omia.org/gene274036319/,VBO_0000576
,,,Wing patch,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001754/9031/,,
Z,27059520,27074222,Restricted ovulator,Reproductive system phene,yes,yes,VLDLR,very low density lipoprotein receptor,https://www.omia.org/OMIA000865/9031/,https://www.omia.org/gene11521847/,
,,,Scleroderma,Immune system phene,unknown,yes,,,https://www.omia.org/OMIA001202/9031/,,
,,,"Alopecia, generic",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA000030/9031/,,
,,,Dysplastic remiges,Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001756/9031/,,
,,,"Feathering, abnormal",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001755/9031/,,
,,,"Naked, sex-linked",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001753/9031/,,VBO_0000646
,,,Feather texture,Integument (skin) phene,yes,no,,,https://www.omia.org/OMIA001751/9031/,,
,,,Long filoplumes,Integument (skin) phene,yes,no,,,https://www.omia.org/OMIA001750/9031/,,
,,,Surplus flight primaries,Integument (skin) phene,no,no,,,https://www.omia.org/OMIA001749/9031/,,
,,,"Tail feathers, long",Integument (skin) phene,no,no,,,https://www.omia.org/OMIA001747/9031/,,
,,,Vulture hocks,Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001698/9031/,,
,,,Stubs,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001742/9031/,,
,,,Apterylosis (autosomal nakedness),Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001740/9031/,,VBO_0000599
,,,"Baldness, congenital",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA000100/9031/,,
,,,Hock burn,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA001734/9031/,,
,,,Long-bone deformities,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA001735/9031/,,
3,101753911,101762484,Naked neck,Integument (skin) phene,yes,yes,GDF7,growth differentiation factor 7,https://www.omia.org/OMIA000701/9031/,https://www.omia.org/gene3449354/,
,,,"Naked, Ottawa",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA001634/9031/,,
Z,55505344,55410930,Analphalipoproteinaemia,Homeostasis / metabolism phene,yes,yes,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",https://www.omia.org/OMIA000042/9031/,https://www.omia.org/gene373945/,
10,13104655,13060505,Nanomelia,Limbs / fins / digit / tail phene,yes,yes,ACAN,aggrecan,https://www.omia.org/OMIA000702/9031/,https://www.omia.org/gene395798/,
,,,Inhibitor of dermal melanin,Pigmentation phene,yes,no,,,https://www.omia.org/OMIA001699/9031/,,
,,,Pink eye,Pigmentation phene,yes,yes,,,https://www.omia.org/OMIA001700/9031/,,
,,,"Uropygial gland, doubling of",Endocrine / exocrine gland phene (incl mammary gland),yes,yes,,,https://www.omia.org/OMIA001034/9031/,,
Z,31499022,31398868,Retinal dysplasia and degeneration,Vision / eye phene,yes,yes,MPDZ,multiple PDZ domain protein,https://www.omia.org/OMIA001366/9031/,https://www.omia.org/gene174544977/,
2,8501553,8435836,Oligozeugodactyly,Limbs / fins / digit / tail phene,yes,yes,LMBR1,limb development membrane protein 1,https://www.omia.org/OMIA001612/9031/,https://www.omia.org/gene373986/,
25,776500,777079,Epilepsy,Nervous system phene,yes,yes,LOC430486,similar to Ca2+ regulator SV2A,https://www.omia.org/OMIA000344/9031/,https://www.omia.org/gene67270904/,
2,122659195,122720613,Muscular dystrophy,Muscle phene,yes,yes,WWP1,WW domain containing E3 ubiquitin protein ligase 1,https://www.omia.org/OMIA000679/9031/,https://www.omia.org/gene420212/,
