CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
1,115181223,115063307,Malignant hyperthermia,Homeostasis / metabolism phene,yes,yes,RYR1,ryanodine receptor 1 (skeletal),https://www.omia.org/OMIA000621/9615/,https://www.omia.org/gene3538631/,"VBO_0200062, VBO_0200163, VBO_0200372, VBO_0200375, VBO_0200442, VBO_0200497, VBO_0200577, VBO_0200610, VBO_0200638, VBO_0200800, VBO_0200902, VBO_0201029, VBO_0201160"
,,,Sjogren syndrome,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA002910/9615/,,
16,6227304,6196701,Myotonia,Muscle phene,yes,yes,CLCN1,"chloride channel, voltage-sensitive 1",https://www.omia.org/OMIA000698/9615/,https://www.omia.org/gene403723/,"VBO_0200034, VBO_0200088, VBO_0200193, VBO_0200210, VBO_0200361, VBO_0200372, VBO_0201455, VBO_0200623, VBO_0200724, VBO_0200800, VBO_0200896, VBO_0200902, VBO_0201296"
15,18575495,18646528,Retinal atrophy - Cone-rod dystrophy 4,Vision / eye phene,yes,yes,RPGRIP1,retinitis pigmentosa GTPase regulator interacting protein 1,https://www.omia.org/OMIA001432/9615/,https://www.omia.org/gene388244116/,"VBO_0200409, VBO_0200497"
15,53638052,53583032,Retinal atrophy - Cone-rod dystrophy 4,Vision / eye phene,yes,yes,MAP9,microtubule-associated protein 9,https://www.omia.org/OMIA001432/9615/,https://www.omia.org/gene388249508/,"VBO_0200409, VBO_0200497"
19,12995177,13120933,"Neuronal ceroid lipofuscinosis, 7",Lysosomal storage disease,yes,yes,MFSD8,major facilitator superfamily domain containing 8,https://www.omia.org/OMIA001962/9615/,https://www.omia.org/gene388244653/,"VBO_0200338, VBO_0200345, VBO_0201251"
,,,Meningoencephalitis,Nervous system phene,no,yes,,,https://www.omia.org/OMIA001470/9615/,,"VBO_0200241, VBO_0200338, VBO_0200389, VBO_0201455, VBO_0200856, VBO_0200985, VBO_0200994, VBO_0201089, VBO_0201223, VBO_0201448"
,,,Epilepsy,Nervous system phene,no,yes,,,https://www.omia.org/OMIA000344/9615/,,"VBO_0200144, VBO_0200193, VBO_0200375, VBO_0200453, VBO_0200526, VBO_0200577, VBO_0201009"
3,38430387,38394079,"Fanconi syndrome, FAN1-related",Renal / urinary system phene,yes,yes,FAN1,FANCD2/FANCI-associated nuclease 1,https://www.omia.org/OMIA002683/9615/,https://www.omia.org/gene388246875/,VBO_0200120
,,,"Cardiomyopathy, dilated",Cardiovascular system phene,no,yes,,,https://www.omia.org/OMIA000162/9615/,,"VBO_0200197, VBO_0200210, VBO_0200372, VBO_0200442, VBO_0200486, VBO_0200623, VBO_0200706, VBO_0200938, VBO_0200964, VBO_0201077, VBO_0201401"
,,,Ocular melanosis,Pigmentation phene,yes,yes,,,https://www.omia.org/OMIA001804/9615/,,"VBO_0200267, VBO_0201223"
27,39191850,39329540,Von Willebrand disease III,Haematopoietic system phene,yes,yes,VWF,von Willebrand factor,https://www.omia.org/OMIA001058/9615/,https://www.omia.org/gene399544/,"VBO_0200406, VBO_0200932, VBO_0201198, VBO_0201217"
5,32678721,32665395,"Cancer, TP53-related",Neoplasm,unknown,yes,TP53,tumor protein p53,https://www.omia.org/OMIA001990/9615/,https://www.omia.org/gene403869/,
,,,"Dyskinesia, paroxysmal",Behaviour / neurological phene,no,yes,,,https://www.omia.org/OMIA001543/9615/,,VBO_0200962
18,16579791,17064382,"Lissencephaly and cerebellar hypoplasia, RELN-related",Nervous system phene,yes,yes,RELN,reelin,https://www.omia.org/OMIA001867/9615/,https://www.omia.org/gene388249897/,VBO_0201423
4,87442470,87564197,"Neuropathy, sensory, RETREG1-related",Nervous system phene,yes,yes,FAM134B,"family with sequence similarity 134, member B",https://www.omia.org/OMIA002032/9615/,https://www.omia.org/gene388247158/,"VBO_0200193, VBO_0200585, VBO_0200902"
,,,"Steroid-responsive meningitis-arteritis, susceptibility to",Nervous system phene,no,yes,,,https://www.omia.org/OMIA002842/9615/,,"VBO_0200090, VBO_0200161, VBO_0200193, VBO_0200210, VBO_0200316, VBO_0200610, VBO_0200713, VBO_0200964, VBO_0200995, VBO_0201427"
,,,"Alopecia, generic",Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA000030/9615/,,VBO_0201043
31,26654922,26662986,Degenerative myelopathy,Nervous system phene,yes,yes,SOD1,"superoxide dismutase 1, soluble",https://www.omia.org/OMIA000263/9615/,https://www.omia.org/gene403559/,"VBO_0200015, VBO_0200017, VBO_0200046, VBO_0200059, VBO_0200088, VBO_0200095, VBO_0200131, VBO_0200144, VBO_0200147, VBO_0200161, VBO_0200175, VBO_0200193, VBO_0200197, VBO_0200210, VBO_0200234, VBO_0200274, VBO_0200290, VBO_0200309, VBO_0200326, VBO_0200345, VBO_0200375, VBO_0200376, VBO_0200389, VBO_0200402, VBO_0200427, VBO_0200442, VBO_0200492, VBO_0200497, VBO_0201455, VBO_0200577, VBO_0200610, VBO_0200629, VBO_0200674, VBO_0200702, VBO_0200724, VBO_0200764, VBO_0200779, VBO_0200793, VBO_0200800, VBO_0200938, VBO_0200962, VBO_0200964, VBO_0200995, VBO_0201051, VBO_0201056, VBO_0201089, VBO_0201102, VBO_0201125, VBO_0201135, VBO_0201141, VBO_0201143, VBO_0201160, VBO_0201174, VBO_0201217, VBO_0201226, VBO_0201233, VBO_0201260, VBO_0201296, VBO_0201334, VBO_0201342, VBO_0201353, VBO_0201401, VBO_0201412, VBO_0201423, VBO_0201424"
25,42715740,42674227,Degenerative myelopathy,Nervous system phene,yes,yes,SP110,SP110 nuclear body protein,https://www.omia.org/OMIA000263/9615/,https://www.omia.org/gene389416327/,"VBO_0200015, VBO_0200017, VBO_0200046, VBO_0200059, VBO_0200088, VBO_0200095, VBO_0200131, VBO_0200144, VBO_0200147, VBO_0200161, VBO_0200175, VBO_0200193, VBO_0200197, VBO_0200210, VBO_0200234, VBO_0200274, VBO_0200290, VBO_0200309, VBO_0200326, VBO_0200345, VBO_0200375, VBO_0200376, VBO_0200389, VBO_0200402, VBO_0200427, VBO_0200442, VBO_0200492, VBO_0200497, VBO_0201455, VBO_0200577, VBO_0200610, VBO_0200629, VBO_0200674, VBO_0200702, VBO_0200724, VBO_0200764, VBO_0200779, VBO_0200793, VBO_0200800, VBO_0200938, VBO_0200962, VBO_0200964, VBO_0200995, VBO_0201051, VBO_0201056, VBO_0201089, VBO_0201102, VBO_0201125, VBO_0201135, VBO_0201141, VBO_0201143, VBO_0201160, VBO_0201174, VBO_0201217, VBO_0201226, VBO_0201233, VBO_0201260, VBO_0201296, VBO_0201334, VBO_0201342, VBO_0201353, VBO_0201401, VBO_0201412, VBO_0201423, VBO_0201424"
1,91786552,91821587,"Cerebellar hypoplasia, VLDLR-associated",Nervous system phene,yes,yes,VLDLR,very low density lipoprotein receptor,https://www.omia.org/OMIA001947/9615/,https://www.omia.org/gene388244833/,VBO_0200512
9,13499392,13493565,"Dwarfism, growth-hormone deficiency",Skeleton phene (incl. short stature & teeth),yes,yes,GH1,growth hormone,https://www.omia.org/OMIA001473/9615/,https://www.omia.org/gene388199274/,"VBO_0200241, VBO_0200338, VBO_0201011, VBO_0201147"
35,7562265,7607463,"Ichthyosis, DSP-related",Integument (skin) phene,yes,yes,DSP,desmoplakin,https://www.omia.org/OMIA002243/9615/,https://www.omia.org/gene398298916/,VBO_0201051
,,,"Retinal atrophy, progressive, Whippet",Vision / eye phene,yes,yes,,,https://www.omia.org/OMIA002085/9615/,,VBO_0201421
X,28487633,26319830,"Muscular dystrophy, Duchenne type",Muscle phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001081/9615/,https://www.omia.org/gene606758/,"VBO_0200092, VBO_0200193, VBO_0200239, VBO_0200309, VBO_0200503, VBO_0200583, VBO_0200610, VBO_0200615, VBO_0200704, VBO_0200724, VBO_0200740, VBO_0200800, VBO_0200896, VBO_0200995, VBO_0201125, VBO_0201143, VBO_0201174, VBO_0201353, VBO_0201401"
14,13507439,13410127,"Multidrug resistance 1, ABCB1-related",Homeostasis / metabolism phene,yes,yes,ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",https://www.omia.org/OMIA001402/9615/,https://www.omia.org/gene26536055/,"VBO_0200095, VBO_0200193, VBO_0200375, VBO_0200376, VBO_0200577, VBO_0200683, VBO_0200833, VBO_0200872, VBO_0200881, VBO_0200902, VBO_0200969, VBO_0201217, VBO_0201235, VBO_0201394, VBO_0201423"
,,,Myopathy,Muscle phene,unknown,yes,,,https://www.omia.org/OMIA000693/9615/,,"VBO_0200577, VBO_0200800"
4,67462747,67473870,"Ataxia, cerebellar, SELENOP-related",Nervous system phene,yes,yes,SEPP1,"selenoprotein P, plasma, 1",https://www.omia.org/OMIA002367/9615/,https://www.omia.org/gene388247132/,VBO_0200144
8,26937999,26899306,L-2-hydroxyglutaricacidemia,Nervous system phene,yes,yes,L2HGDH,L-2-hydroxyglutarate dehydrogenase,https://www.omia.org/OMIA001371/9615/,https://www.omia.org/gene26585840/,"VBO_0201296, VBO_0201415, VBO_0201448"
6,7068561,7137106,"Drug metabolism, altered",Homeostasis / metabolism phene,unknown,unknown,POR,cytochrome p450 oxidoreductase,https://www.omia.org/OMIA002421/9615/,https://www.omia.org/gene398298941/,VBO_0200638
1,113415892,113431675,"Drug metabolism, altered",Homeostasis / metabolism phene,unknown,unknown,CYP2B6,cytochrome P450 2B11,https://www.omia.org/OMIA002421/9615/,https://www.omia.org/gene398298942/,VBO_0200638
17,59709253,59692674,"Chondrodysplasia, disproportionate short-limbed, ITGA10-related'",Skeleton phene (incl. short stature & teeth),yes,yes,ITGA10,"integrin, alpha 10",https://www.omia.org/OMIA001886/9615/,https://www.omia.org/gene388303744/,"VBO_0200353, VBO_0200754, VBO_0200955"
9,51583512,51733920,"classical Ehlers-Danlos syndrome (cEDS), COL5A1-related",Integument (skin) phene,yes,yes,COL5A1,"collagen, type V, alpha 1",https://www.omia.org/OMIA002165/9615/,https://www.omia.org/gene388248174/,"VBO_0200131, VBO_0200408, VBO_0200577, VBO_0200610, VBO_0200800, VBO_0200902, VBO_0201198"
22,61197920,61208435,Factor VII deficiency,Haematopoietic system phene,yes,yes,F7,coagulation factor VII (serum prothrombin conversion accelerator),https://www.omia.org/OMIA000361/9615/,https://www.omia.org/gene3539631/,"VBO_0200008, VBO_0200015, VBO_0200016, VBO_0200017, VBO_0200047, VBO_0200126, VBO_0200131, VBO_0200298, VBO_0200410, VBO_0200490, VBO_0200522, VBO_0200583, VBO_0200602, VBO_0200604, VBO_0200660, VBO_0200705, VBO_0200740, VBO_0200896, VBO_0200902, VBO_0200985, VBO_0201132, VBO_0201195, VBO_0201200, VBO_0201411, VBO_0201421"
10,69610843,69607664,"Ichthyosis, ASPRV1-related",Integument (skin) phene,yes,yes,ASPRV1,"aspartic peptidase, retroviral-like 1",https://www.omia.org/OMIA002099/9615/,https://www.omia.org/gene388248660/,"VBO_0200577, VBO_0200995"
5,31801741,31815685,"Myasthenic syndrome, congenital, CHRNE-related",Nervous system phene,yes,yes,CHRNE,"cholinergic receptor, nicotinic, epsilon (muscle)",https://www.omia.org/OMIA000685/9615/,https://www.omia.org/gene388247226/,"VBO_0200497, VBO_0200666, VBO_0200724, VBO_0201258"
10,64995951,64966161,"Retinal atrophy, progressive, FAM161A-related",Vision / eye phene,yes,yes,FAM161A,"family with sequence similarity 161, member A",https://www.omia.org/OMIA001918/9615/,https://www.omia.org/gene388248644/,"VBO_0200496, VBO_0201352, VBO_0201353"
,,,"Pituitary hormone deficiency, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000307/9615/,,"VBO_0200402, VBO_0200577, VBO_0200754, VBO_0201158"
9,50125225,50131690,"Pituitary hormone deficiency, LHX3-related",Skeleton phene (incl. short stature & teeth),yes,yes,LHX3,LIM homeobox 3,https://www.omia.org/OMIA002314/9615/,https://www.omia.org/gene388303261/,"VBO_0200402, VBO_0200577, VBO_0201158, VBO_0201353"
31,752910,771826,"Pituitary hormone deficiency, POU1F1-related",Skeleton phene (incl. short stature & teeth),yes,yes,POU1F1,POU class 1 homeobox 1,https://www.omia.org/OMIA002315/9615/,https://www.omia.org/gene403753/,VBO_0200754
21,5366974,5491223,"Polyneuropathy, hypomyelinating, MTMR2-related",Nervous system phene,yes,yes,MTMR2,myotubularin related protein 2,https://www.omia.org/OMIA002727/9615/,https://www.omia.org/gene388302814/,VBO_0200610
16,24652836,24681609,"Neuroaxonal dystrophy, RNF170-related",Nervous system phene,yes,yes,RNF170,ring finger protein 170,https://www.omia.org/OMIA002876/9615/,https://www.omia.org/gene398298925/,VBO_0200880
,,,Dog allergen,Normal phene,unknown,no,,,https://www.omia.org/OMIA002799/9615/,,
,,,"Pseudomyotonia, congenital",Muscle phene,unknown,unknown,,,https://www.omia.org/OMIA001464/9615/,,
,,,Pulmonary hypertension,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000841/9615/,,
16,8065738,8237942,Transitional cell carcinoma,Neoplasm,no,yes,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",https://www.omia.org/OMIA001512/9615/,https://www.omia.org/gene388244214/,"VBO_0200131, VBO_0201198, VBO_0201217, VBO_0201415"
30,30879701,30957083,Transitional cell carcinoma,Neoplasm,no,yes,MAP2K1,mitogen-activated protein kinase kinase 1,https://www.omia.org/OMIA001512/9615/,https://www.omia.org/gene388246362/,"VBO_0200131, VBO_0201198, VBO_0201217, VBO_0201415"
13,44477241,44500597,Transitional cell carcinoma,Neoplasm,no,yes,NIPAL1,NIPA like domain containing 1,https://www.omia.org/OMIA001512/9615/,https://www.omia.org/gene398298928/,"VBO_0200131, VBO_0201198, VBO_0201217, VBO_0201415"
3,70150039,70345339,Urolithiasis,Renal / urinary system phene,yes,yes,SLC2A9,"solute carrier family 2 (facilitated glucose transporter), member 9",https://www.omia.org/OMIA001033/9615/,https://www.omia.org/gene27949574/,"VBO_0200055, VBO_0200095, VBO_0200163, VBO_0200174, VBO_0200185, VBO_0200427, VBO_0200485, VBO_0200568, VBO_0200577, VBO_0200604, VBO_0200800, VBO_0200816, VBO_0200824, VBO_0200845, VBO_0200896, VBO_0200987, VBO_0200994, VBO_0201043, VBO_0201056, VBO_0201198, VBO_0201280, VBO_0201401"
,,,Myelodysplastic syndrome,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA002870/9615/,,"VBO_0200408, VBO_0201089"
8,4209738,4219816,"Dyskinesia, paroxysmal, PCK2-related",Homeostasis / metabolism phene,unknown,yes,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial",https://www.omia.org/OMIA002868/9615/,https://www.omia.org/gene398298918/,VBO_0201217
,,,"Muscular dystrophy, Becker type",Muscle phene,unknown,yes,,,https://www.omia.org/OMIA001888/9615/,,
,,,Osteosarcoma,Neoplasm,yes,yes,,,https://www.omia.org/OMIA001441/9615/,,"VBO_0200442, VBO_0200577, VBO_0200623, VBO_0200638, VBO_0200702, VBO_0200706, VBO_0200819, VBO_0201143, VBO_0201160, VBO_0201195"
,,,"Encephalopathy, generic",Nervous system phene,unknown,unknown,,,https://www.omia.org/OMIA002867/9615/,,VBO_0200131
,,,"Myopathy, mitochondrial",Muscle phene,unknown,yes,,,https://www.omia.org/OMIA000695/9615/,,"VBO_0200724, VBO_0200969, VBO_0201056"
,,,Pheochromocytoma,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA001268/9615/,,
22,144381,208578,Wilson disease,Liver/biliary system phene,yes,yes,ATP7B,"ATPase, Cu++ transporting, beta polypeptide",https://www.omia.org/OMIA001071/9615/,https://www.omia.org/gene388245279/,"VBO_0200137, VBO_0200309, VBO_0200427, VBO_0200442, VBO_0200800"
X,55046702,55482183,"Hypohidrotic ectodermal dysplasia, X-linked, EDA-related",Integument (skin) phene,yes,yes,EDA,ectodysplasin A,https://www.omia.org/OMIA000543/9615/,https://www.omia.org/gene491935/,"VBO_0200126, VBO_0200144, VBO_0200163, VBO_0200372, VBO_0200577, VBO_0200800, VBO_0200893, VBO_0200902, VBO_0200994, VBO_0201051, VBO_0201421, VBO_0201448"
,,,Wolff-Parkinson-White syndrome,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001194/9615/,,
,,,Behaviour,Behaviour / neurological phene,no,unknown,,,https://www.omia.org/OMIA002328/9615/,,"VBO_0200147, VBO_0200486, VBO_0200546, VBO_0200577, VBO_0200800"
30,32459741,32442020,"Neuronal ceroid lipofuscinosis, 6",Lysosomal storage disease,yes,yes,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",https://www.omia.org/OMIA001443/9615/,https://www.omia.org/gene26598540/,"VBO_0200095, VBO_0201181"
32,4533042,4556071,"Hair, long",Integument (skin) phene,yes,no,FGF5,fibroblast growth factor 5,https://www.omia.org/OMIA000439/9615/,https://www.omia.org/gene99327621/,"VBO_0200004, VBO_0200193, VBO_0200372, VBO_0200375, VBO_0200406, VBO_0200577, VBO_0200610, VBO_0200995, VBO_0201043, VBO_0201174"
12,1648746,1595038,"classic-like Ehlers-Danlos syndrome (clEDS), TNXB-related",Integument (skin) phene,unknown,yes,TNXB,tenascin XB,https://www.omia.org/OMIA002203/9615/,https://www.omia.org/gene389413072/,VBO_0200902
,,,Nodular dermatofibrosis and kidney disease (redundant),,unknown,unknown,,,https://www.omia.org/OMIA001195/9615/,,
5,42284487,42304049,Renal cystadenocarcinoma and nodular dermatofibrosis,Neoplasm,yes,yes,FLCN,folliculin,https://www.omia.org/OMIA001335/9615/,https://www.omia.org/gene26585227/,"VBO_0200131, VBO_0200577, VBO_0200902"
,,,"Gangliosidosis, GM2, (AB variant), GM2A-related",Lysosomal storage disease,unknown,unknown,,,https://www.omia.org/OMIA001427/9615/,,
27,2535235,2543509,Curly coat,Integument (skin) phene,yes,no,KRT71,"keratin 71, type II",https://www.omia.org/OMIA000245/9615/,https://www.omia.org/gene23860798/,"VBO_0200163, VBO_0200326, VBO_0200397, VBO_0200704, VBO_0200804, VBO_0201077, VBO_0201280"
15,23131808,23378520,"Deafness, unilateral and vestibular dysfunction, PTPRQ-related'",Hearing / vestibular / ear phene,yes,yes,PTPRQ,"protein tyrosine phosphatase, receptor type, Q",https://www.omia.org/OMIA002196/9615/,https://www.omia.org/gene388249459/,VBO_0200442
8,39523986,39377314,"Elliptocytosis, SPTB-related",Haematopoietic system phene,yes,yes,SPTB,"spectrin, beta, erythrocytic",https://www.omia.org/OMIA001318/9615/,https://www.omia.org/gene23863703/,VBO_0200902
15,56573299,56706386,Hypomyelination of the central nervous system,Nervous system phene,yes,yes,FNIP2,folliculin interacting protein 2,https://www.omia.org/OMIA000526/9615/,https://www.omia.org/gene388244185/,VBO_0201401
13,9022401,8873544,Improper coat,Integument (skin) phene,yes,yes,RSPO2,R-spondin 2,https://www.omia.org/OMIA001498/9615/,https://www.omia.org/gene23857650/,VBO_0201077
20,58179361,58173790,"Leigh syndrome, NDUFS7-related",Nervous system phene,yes,yes,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,https://www.omia.org/OMIA002840/9615/,https://www.omia.org/gene398298884/,VBO_0200902
28,23970117,24011237,"Lipid malabsorption, ACSL5-related",Digestive / alimentary phene,yes,yes,ACSL5,acyl-CoA synthetase long-chain family member 5,https://www.omia.org/OMIA002226/9615/,https://www.omia.org/gene388245967/,VBO_0200090
5,75580429,75594782,Macular corneal dystrophy,Vision / eye phene,yes,yes,LOC489707,carbohydrate sulfotransferase 6,https://www.omia.org/OMIA002071/9615/,https://www.omia.org/gene388254349/,VBO_0200800
30,38023809,38029593,Metabolizer of a cognitive enhancer,Homeostasis / metabolism phene,yes,no,CYP1A2,"cytochrome P450, family 1, subfamily A, polypeptide 2",https://www.omia.org/OMIA001405/9615/,https://www.omia.org/gene26595581/,VBO_0200131
1,93940875,93989640,Polycythemia,Haematopoietic system phene,yes,yes,JAK2,Janus kinase 2,https://www.omia.org/OMIA000809/9615/,https://www.omia.org/gene26588522/,"VBO_0200856, VBO_0200902, VBO_0201048, VBO_0201415, VBO_0201448"
29,33163070,32900394,"Achromatopsia-3, CNGB3-related",Vision / eye phene,yes,yes,CNGB3,cyclic nucleotide gated channel beta 3,https://www.omia.org/OMIA001365/9615/,https://www.omia.org/gene403554/,"VBO_0200015, VBO_0200017, VBO_0200881, VBO_0201233"
,,,Calvarial hyperostotic syndrome,Craniofacial phene,unknown,yes,,,https://www.omia.org/OMIA002245/9615/,,"VBO_0200054, VBO_0200055, VBO_0200253, VBO_0200497, VBO_0201401"
,,,Cerebellar abiotrophy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000175/9615/,,"VBO_0200090, VBO_0200131, VBO_0200193, VBO_0200210, VBO_0200239, VBO_0200485, VBO_0200764, VBO_0200800, VBO_0200804, VBO_0201434"
37,25735139,25652649,"Choroidal hypoplasia, NHEJ1-related",Vision / eye phene,yes,yes,NHEJ1,nonhomologous end-joining factor 1,https://www.omia.org/OMIA000218/9615/,https://www.omia.org/gene3542381/,"VBO_0200015, VBO_0200090, VBO_0200095, VBO_0200193, VBO_0200214, VBO_0200353, VBO_0200376, VBO_0200377, VBO_0200671, VBO_0200724, VBO_0200782, VBO_0200808, VBO_0200814, VBO_0200833, VBO_0200964, VBO_0200969, VBO_0200987, VBO_0201217, VBO_0201233, VBO_0201235, VBO_0201256, VBO_0201334"
,,,"Craniomandibular osteopathy, generic",Craniofacial phene,no,yes,,,https://www.omia.org/OMIA000236/9615/,,"VBO_0200008, VBO_0200010, VBO_0200054, VBO_0200098, VBO_0200126, VBO_0200210, VBO_0200253, VBO_0200267, VBO_0200397, VBO_0200442, VBO_0200485, VBO_0200602, VBO_0200623, VBO_0200800, VBO_0200969, VBO_0201113, VBO_0201198, VBO_0201217, VBO_0201401, VBO_0201415"
11,2257166,2480747,"Dermatosparaxis Ehlers-Danlos syndrome (dEDS), ADAMTS2-related",Integument (skin) phene,yes,yes,ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",https://www.omia.org/OMIA000328/9615/,https://www.omia.org/gene388248681/,"VBO_0200014, VBO_0200054, VBO_0200298, VBO_0200442"
23,3992209,4074051,"Gangliosidosis, GM1",Lysosomal storage disease,yes,yes,GLB1,"galactosidase, beta 1",https://www.omia.org/OMIA000402/9615/,https://www.omia.org/gene403873/,"VBO_0200015, VBO_0200131, VBO_0200497, VBO_0201077, VBO_0201220"
X,111487863,111520319,Haemophilia B,Haematopoietic system phene,yes,yes,F9,coagulation factor IX,https://www.omia.org/OMIA000438/9615/,https://www.omia.org/gene404015/,"VBO_0200008, VBO_0200017, VBO_0200038, VBO_0200054, VBO_0200131, VBO_0200163, VBO_0200168, VBO_0200267, VBO_0200361, VBO_0200442, VBO_0201455, VBO_0200577, VBO_0200602, VBO_0200610, VBO_0200674, VBO_0200724, VBO_0200800, VBO_0200824, VBO_0200859, VBO_0200902, VBO_0200938, VBO_0200969, VBO_0201135, VBO_0201143, VBO_0201160, VBO_0201198, VBO_0201200, VBO_0201223, VBO_0201401, VBO_0201424"
